,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.9,0,1.1870092891348716,2.303465805053711,13.0,80,2.306417559814453,10.199999809265137,36.80052915279631
1,0.9,1,0.7206400725504188,2.305841827392578,8.5,82,2.2982825172424315,12.390000343322754,37.708105767467956
2,0.9,2,0.6471724870511137,2.300276794433594,9.0,81,2.286038851928711,13.4399995803833,38.539340626731075
3,0.9,3,0.608975964531253,2.291713638305664,13.5,81,2.250028813934326,18.219999313354492,35.89847050733892
4,0.9,4,0.5856107758099174,2.257783432006836,16.0,81,2.2204159450531007,18.1299991607666,38.06740337400788
5,0.9,5,0.5608576236812215,2.2327098846435547,17.5,80,2.193571300506592,18.0,37.468797321920576
6,0.9,6,0.5550783568683747,2.21177490234375,17.0,81,2.127249617767334,22.989999771118164,36.70386903336305
7,0.9,7,0.5164868174368185,2.14381965637207,18.0,80,2.0870215742111204,23.389999389648438,36.579740413926665
8,0.9,8,0.5081337599200196,2.106419143676758,23.0,81,2.0481175519943235,24.649999618530273,36.4895905816464
9,0.9,9,0.4977526704623916,2.0667755126953127,22.0,81,2.0143461601257324,24.670000076293945,37.14296913445188
10,0.9,10,0.49832935923946436,2.0336585235595703,22.0,82,1.9916493076324462,24.34000015258789,38.70876955729385
11,0.9,11,0.4647614018575419,2.0097342681884767,23.0,82,1.9528120559692383,27.610000610351562,39.8419175317385
12,0.9,12,0.45336420647014003,1.970462875366211,26.5,82,1.9247976322174072,29.010000228881836,37.92201052907141
13,0.9,13,0.45375607072577556,1.9420984649658204,28.5,84,1.9072113702774047,29.670000076293945,39.08041231710649
14,0.9,14,0.4557568585623567,1.9246315002441405,30.0,80,1.8864648416519165,28.600000381469727,38.85724976527691
15,0.9,15,0.4329857865464767,1.9019762420654296,28.5,80,1.8654118856430053,29.780000686645508,37.64999606501629
16,0.9,16,0.431984610337083,1.8800886535644532,29.0,81,1.8369992462158202,31.799999237060547,36.836348795692956
17,0.9,17,0.44194757724963235,1.8492273712158203,32.5,81,1.8268396812438965,30.700000762939453,38.17655492789591
18,0.9,18,0.4212160057857062,1.8381927490234375,30.0,83,1.7950021966934204,34.27000045776367,37.98376583011159
19,0.9,19,0.422700657345691,1.807340202331543,34.5,82,1.7791555154800416,34.970001220703125,37.73639577777961
20,0.9,20,0.4038007238649767,1.7920369720458984,36.0,81,1.7650764099121095,35.40999984741211,38.23937608873194
21,0.9,21,0.4001593198405497,1.7778329467773437,36.5,80,1.7520761302947998,35.7599983215332,35.445827176576145
22,0.9,22,0.3961963037808546,1.7644845581054687,39.5,81,1.72701458568573,37.18000030517578,38.182183173194275
23,0.9,23,0.3691081619296823,1.7366612243652344,37.0,81,1.7213068855285645,37.189998626708984,38.669093609861825
24,0.9,24,0.37800952134495996,1.7325077438354493,38.5,84,1.709747103881836,36.79999923706055,38.80342367092537
25,0.9,25,0.36558815229158287,1.7150765991210937,38.0,81,1.7014509449005126,37.689998626708984,38.036284745748155
26,0.9,26,0.3779619356030686,1.7073140716552735,38.5,81,1.6797934677124022,38.16999816894531,37.62575138517613
27,0.9,27,0.365522230238945,1.6849612426757812,40.5,81,1.6674015340805053,39.25,37.39953525597358
28,0.9,28,0.3639895528502241,1.6706846618652345,41.5,82,1.6546623189926148,39.79999923706055,38.96198084817531
29,0.9,29,0.3717203080024724,1.6533847427368165,41.0,81,1.6478072858810424,39.7400016784668,38.525891260183634
30,0.9,30,0.3621995220008309,1.6456586074829103,40.5,82,1.6397360067367555,39.400001525878906,36.25074466104447
31,0.9,31,0.3588017910117824,1.641759796142578,39.5,80,1.6326519676208495,39.54999923706055,37.69080744440325
32,0.9,32,0.35386973696315105,1.6381868362426757,37.0,81,1.6312039691925049,39.66999816894531,38.53751568759137
33,0.9,33,0.350593190520031,1.6301205825805665,39.5,81,1.614644787979126,40.43000030517578,36.58261389531321
34,0.9,34,0.33574819944374146,1.6037527465820312,40.5,80,1.6029051500320435,41.40999984741211,36.42386727852472
35,0.9,35,0.33649563512973646,1.5956272506713867,42.0,82,1.5926855731964111,42.13999938964844,37.75717639815601
36,0.9,36,0.3441421970465115,1.5889209747314452,43.0,80,1.5987169128417968,41.290000915527344,37.277176578320294
37,0.9,37,0.33019938079933786,1.589338607788086,40.5,82,1.5757278480529786,42.79999923706055,38.339395508263
38,0.9,38,0.3219544901289352,1.5631480407714844,43.0,82,1.5727091178894044,41.849998474121094,38.83282719611133
39,0.9,39,0.3308737790021308,1.563663330078125,42.5,80,1.5666273633956909,42.88999938964844,38.91096256260754
40,0.9,40,0.31820397234172354,1.551104278564453,41.5,82,1.56585714969635,42.060001373291016,38.048048937834764
41,0.9,41,0.3217751607854519,1.542415237426758,43.5,81,1.5469209201812744,42.900001525878906,38.95978551562847
42,0.9,42,0.3206580810596348,1.533462028503418,43.5,80,1.541445224571228,44.040000915527344,36.600802496663164
43,0.9,43,0.3135295020064582,1.523651123046875,46.0,83,1.5381743396759033,43.689998626708984,38.65647970616443
44,0.9,44,0.3147547120462305,1.5219491577148438,45.0,81,1.5246996755599975,44.25,38.14464052693322
45,0.9,45,0.29848630658079933,1.5070117950439452,44.5,80,1.5239829565048217,43.650001525878906,37.5907397508001
46,0.9,46,0.30201778705961546,1.5098302841186524,45.0,81,1.5333843160629272,43.599998474121094,38.11771149404459
47,0.9,47,0.3015243003456956,1.4999636840820312,46.5,81,1.5048917545318603,45.77000045776367,38.146715825677184
48,0.9,48,0.3071122665005657,1.4795478439331056,46.0,81,1.5023072568893432,45.36000061035156,38.16430076111202
49,0.9,49,0.29812044579089847,1.476927490234375,45.5,80,1.4940262323379516,46.18000030517578,37.360583222242276
50,0.9,50,0.2993503492581533,1.4657340240478516,45.5,82,1.4825852832794189,46.04999923706055,37.91238297793157
51,0.9,51,0.2853481733375949,1.456143913269043,46.5,81,1.47882438621521,45.84000015258789,37.61959544483749
52,0.9,52,0.30364387036144647,1.460254249572754,44.5,80,1.490945312309265,45.2599983215332,38.534916181188386
53,0.9,53,0.29782952455565503,1.4648522186279296,44.5,81,1.482079079246521,45.40999984741211,38.14450239064125
54,0.9,54,0.29020914648199597,1.450756950378418,49.0,81,1.4617067447662353,47.189998626708984,38.06414187294348
55,0.9,55,0.27955237346213774,1.4269218826293946,45.5,82,1.4632082334518433,46.529998779296875,36.44031872617941
56,0.9,56,0.27408237955272846,1.4186234283447265,47.0,81,1.4406769758224487,47.72999954223633,36.271355673150566
57,0.9,57,0.27657555385193366,1.4131091690063478,46.5,81,1.4456728260040284,47.439998626708984,38.59282236652745
58,0.9,58,0.27525620367098785,1.4073389434814454,48.5,80,1.430829079055786,47.599998474121094,37.49637369132659
59,0.9,59,0.26649384054704467,1.4049201965332032,44.0,81,1.4351065620422363,47.849998474121094,37.52216365315792
60,0.9,60,0.26583041484758463,1.395348014831543,44.5,81,1.4183363193511962,48.720001220703125,38.30417292335819
61,0.9,61,0.2573894794122589,1.379851417541504,46.0,83,1.4317706176757812,48.650001525878906,37.31969128672007
62,0.9,62,0.26362430810598303,1.382725372314453,47.0,80,1.4090563013076782,49.0099983215332,36.13273450018667
63,0.9,63,0.2553022523689762,1.3656893157958985,46.5,80,1.4089945085525513,49.040000915527344,37.427871740332044
64,0.9,64,0.25494922496795147,1.370371437072754,48.5,80,1.397649262046814,49.529998779296875,37.0245298220333
65,0.9,65,0.26077162125904974,1.361806640625,48.0,80,1.3996726329803466,49.5099983215332,37.960256052051975
66,0.9,66,0.25181717633958167,1.3470502853393556,46.0,81,1.382294538116455,50.13999938964844,37.36302134056292
67,0.9,67,0.2433476049022035,1.343548583984375,47.0,82,1.3816860820770263,50.29999923706055,37.15449314154295
68,0.9,68,0.2517667478490285,1.335381965637207,48.0,81,1.3724693561553956,50.5099983215332,38.33335046523157
69,0.9,69,0.2368790448479525,1.3251016998291016,49.5,82,1.3747035718917846,50.38999938964844,39.01400338348514
70,0.9,70,0.25319999273560817,1.3367777633666993,48.0,80,1.3612562366485597,50.779998779296875,37.44786460964955
71,0.9,71,0.23272561208617942,1.3145435333251954,48.5,83,1.36471256275177,50.45000076293945,39.8583798437744
72,0.9,72,0.2326802947623609,1.3199153137207031,49.0,81,1.3668218416213989,50.79999923706055,37.38162234070629
73,0.9,73,0.23016810621836545,1.2980005264282226,50.5,81,1.3471703338623047,51.36000061035156,38.62026627241796
74,0.9,74,0.22734611199440496,1.3007603836059571,50.5,80,1.3472761253356933,51.689998626708984,38.39334008504213
75,0.9,75,0.22786714883849607,1.2995545196533203,49.0,80,1.3515272003173828,51.18000030517578,38.073337425124954
76,0.9,76,0.22613365600274996,1.2877741622924805,51.0,82,1.333650745010376,52.040000915527344,37.87545193307261
77,0.9,77,0.2229244953428396,1.2842405700683595,50.5,80,1.341036113357544,51.619998931884766,37.09521642825828
78,0.9,78,0.21278674922381174,1.2821385192871093,49.5,80,1.3279219398498534,52.29999923706055,37.25835512260759
79,0.9,79,0.217369876983232,1.2762058639526368,51.5,82,1.338330917930603,52.34000015258789,39.24728942834251
80,0.9,80,0.20877469605602136,1.2604697036743164,52.0,81,1.3236166599273682,52.279998779296875,38.21507370256035
81,0.9,81,0.21144194876389644,1.2668685150146484,50.5,81,1.3098636739730836,52.810001373291016,38.97932033879715
82,0.9,82,0.2135232170061275,1.2486851119995117,52.5,80,1.3101720878601075,53.0099983215332,37.64566463144351
83,0.9,83,0.20325076260791589,1.238245086669922,51.0,82,1.3053519596099854,52.90999984741211,37.66521211555828
84,0.9,84,0.2068549578375289,1.2403922271728516,52.5,82,1.3071108137130738,52.900001525878906,36.90031476308061
85,0.9,85,0.20529867701221977,1.2392883682250977,50.5,80,1.3053763788223267,53.119998931884766,37.959626573507336
86,0.9,86,0.201145687537371,1.239382553100586,51.5,82,1.3009877830505372,53.560001373291016,38.22811317231445
87,0.9,87,0.19326483735391206,1.2276000595092773,51.5,81,1.2982874822616577,53.220001220703125,38.616843659570385
88,0.9,88,0.18927354123800558,1.2245562744140626,54.0,80,1.2969263904571533,53.7400016784668,37.09968153106816
89,0.9,89,0.18120969793886849,1.2151166915893554,55.5,80,1.2855162845611572,54.02000045776367,39.02928309228773
90,0.9,90,0.18285800981545441,1.2081211471557618,55.0,81,1.2904974060058594,53.91999816894531,36.67011619035597
91,0.9,91,0.18585609793474603,1.1989923477172852,55.5,84,1.2836935722351075,53.36000061035156,37.89363069664976
92,0.9,92,0.18219605744993514,1.216426467895508,51.5,81,1.2875112827301025,54.27000045776367,38.942605130090165
93,0.9,93,0.1748623456334965,1.1946205139160155,55.5,80,1.2684140413284302,54.84000015258789,37.12485176308962
94,0.9,94,0.1776786157242079,1.1834194564819336,53.5,81,1.2779425609588624,54.29999923706055,37.345073456995465
95,0.9,95,0.17406011741935307,1.2077767181396484,53.5,80,1.2842298421859741,54.18000030517578,38.224601170496165
96,0.9,96,0.17673126030008288,1.1682055282592774,55.0,82,1.2794633499145507,54.529998779296875,38.50482736660258
97,0.9,97,0.1700233663410509,1.1700177764892579,56.0,81,1.2624997114181518,54.65999984741211,36.689840415093784
98,0.9,98,0.1688303778110374,1.184407958984375,53.5,81,1.2623897347450257,55.02000045776367,37.110012587676856
99,0.9,99,0.16871554821055798,1.1816857528686524,54.0,81,1.2698682022094727,55.11000061035156,37.17957571678176
100,0.9,100,0.16195140705846073,1.1610437774658202,56.0,82,1.2540897371292115,55.34000015258789,37.61990267708995
101,0.9,101,0.16014703649775505,1.158619956970215,54.0,82,1.2532707136154175,55.529998779296875,37.57595103226822
102,0.9,102,0.1549712400181071,1.146948013305664,54.0,81,1.250565737915039,55.529998779296875,38.105487465929606
103,0.9,103,0.15781623130213826,1.1450762557983398,57.5,81,1.2643179641723632,54.900001525878906,37.881523290739985
104,0.9,104,0.1582997037493481,1.1434435653686523,58.0,80,1.2505036434173584,55.47999954223633,35.89810437283774
105,0.9,105,0.1544674127163904,1.1748931121826172,53.0,81,1.2502713525772096,55.810001373291016,36.44708571359925
106,0.9,106,0.15333448242849898,1.133833770751953,55.0,81,1.2480721128463745,55.52000045776367,38.00347741611749
107,0.9,107,0.14447549772475737,1.1609824371337891,54.0,81,1.2440671887397765,56.040000915527344,38.062491116040206
108,0.9,108,0.14223466783675337,1.141406364440918,55.5,81,1.238971316242218,56.290000915527344,38.65098639532387
109,0.9,109,0.14370239297287424,1.140162582397461,54.5,80,1.2352275966644286,56.33000183105469,36.35159049038383
