,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.1,0,0.04471963694697479,2.313991470336914,12.5,1,2.319765674972534,11.029999732971191,0.7186736102672562
1,0.1,1,0.09805760039783004,2.3115724182128905,12.5,1,2.3173077461242677,11.760000228881836,0.2840826151687623
2,0.1,2,0.057983461101072484,2.3089115142822267,15.5,2,2.31060468711853,11.960000038146973,1.0291485061785215
3,0.1,3,0.061733898583617774,2.303052291870117,15.0,3,2.301471692276001,13.020000457763672,0.8602127341479935
4,0.1,4,0.10285987036729542,2.2940243530273436,14.5,1,2.297473374938965,13.149999618530273,0.2840826151687623
5,0.1,5,0.011411547466644799,2.2897478485107423,15.0,1,2.293517699432373,15.59000015258789,0.15391796565183546
6,0.1,6,0.0,2.2851868438720704,17.5,10,2.271890337371826,17.709999084472656,7.450658910097591
7,0.1,7,0.035645538624085024,2.2641807556152345,16.5,1,2.2691043197631835,17.739999771118164,0.5484771361207114
8,0.1,8,0.0,2.261064682006836,17.0,10,2.2355234386444094,31.959999084472656,7.450658910097591
9,0.1,9,0.0,2.226774978637695,36.5,10,2.2022506992340087,38.900001525878906,7.450658910097591
10,0.1,10,0.2400832877676779,2.1928680419921873,43.0,2,2.197460258102417,38.16999816894531,0.5398184787622267
11,0.1,11,0.0701413561407632,2.188277282714844,40.5,1,2.1973285968780516,38.47999954223633,0.4222121533273957
12,0.1,12,0.0,2.1879586791992187,41.5,10,2.1673806129455566,34.34000015258789,7.450658910097591
13,0.1,13,0.011808666178759121,2.1580997467041017,37.0,1,2.164126527404785,35.25,0.7450658910097592
14,0.1,14,0.05090402239797792,2.1544939422607423,35.5,1,2.1599010231018068,36.459999084472656,0.5807503638471095
15,0.1,15,0.012458640874587807,2.1500364685058595,38.0,1,2.1573042873382566,37.29999923706055,0.7450658910097592
16,0.1,16,0.09508585595991462,2.1479225158691406,38.5,1,2.152098733520508,40.02000045776367,0.2840826151687623
17,0.1,17,0.01592307393634449,2.143285675048828,42.0,3,2.1417179443359373,40.279998779296875,1.5644261586643822
18,0.1,18,0.06281198210645622,2.1334054565429685,42.0,1,2.136934574508667,42.16999816894531,0.4222121533273957
19,0.1,19,0.034302406979938194,2.1291173553466796,43.0,1,2.1349508441925047,42.689998626708984,0.7186736102672562
20,0.1,20,0.10234122503655577,2.1274954986572268,44.0,1,2.132738670349121,40.88999938964844,0.2840826151687623
21,0.1,21,0.0,2.124980010986328,43.5,10,2.097650453186035,41.61000061035156,7.450658910097591
22,0.1,22,0.01805300443175053,2.0894427490234375,42.5,2,2.0876929470062255,43.2599983215332,0.7023951017725468
23,0.1,23,0.0,2.080683135986328,44.5,10,2.0518866790771484,46.09000015258789,7.450658910097591
24,0.1,24,0.06396475670986546,2.045510101318359,45.0,2,2.0472927772521974,45.31999969482422,0.8648329790158719
25,0.1,25,0.021712696295148343,2.04087158203125,45.0,2,2.038994197845459,45.04999923706055,1.7537658534983607
26,0.1,26,0.04574611959218601,2.0327828979492186,43.0,2,2.02880823135376,49.09000015258789,0.9706892894481071
27,0.1,27,0.029014317205971262,2.0231377410888673,49.0,1,2.023628897857666,50.869998931884766,0.5484771361207114
28,0.1,28,0.0,2.01820915222168,49.5,10,1.9852198631286622,50.79999923706055,7.450658910097591
29,0.1,29,0.008082858748269809,1.97989501953125,54.5,1,1.9814526916503907,50.7599983215332,0.15391796565183546
30,0.1,30,0.0,1.975698471069336,54.0,10,1.9384167430877686,55.630001068115234,7.450658910097591
31,0.1,31,0.1835541314500248,1.9364204406738281,56.0,2,1.9300316164016724,54.31999969482422,0.9744094738607205
32,0.1,32,0.0,1.9286398315429687,56.0,10,1.8788420770645142,58.45000076293945,7.450658910097591
33,0.1,33,0.0,1.8784153747558594,59.0,10,1.833876595878601,63.619998931884766,7.450658910097591
34,0.1,34,0.16468133136837845,1.834126968383789,64.0,2,1.8249249937057495,63.47999954223633,1.1177669204852996
35,0.1,35,0.0058168253958520745,1.825413818359375,63.0,1,1.818837802696228,63.810001373291016,0.8620310568918353
36,0.1,36,0.0,1.8191224670410155,63.0,10,1.7731377059936524,61.349998474121094,7.450658910097591
37,0.1,37,0.21392450777236569,1.7729246520996094,62.5,2,1.7643544633865356,62.20000076293945,0.67794801692086
38,0.1,38,0.0,1.7635742950439453,63.0,10,1.716122223854065,66.37000274658203,7.450658910097591
39,0.1,39,0.0,1.7159701538085939,67.0,10,1.6769700590133667,64.9000015258789,7.450658910097591
40,0.1,40,0.15018148819618446,1.6771754455566406,66.5,3,1.663518125152588,66.91000366210938,0.9620306320896224
41,0.1,41,0.025352112254380093,1.6634411239624023,67.5,1,1.6591375692367554,67.54000091552734,0.7186736102672562
42,0.1,42,0.0,1.6593567276000976,68.0,10,1.6148221540451049,70.41999816894531,7.450658910097591
43,0.1,43,0.0,1.6136492156982423,71.0,10,1.566586024093628,71.56999969482422,7.450658910097591
44,0.1,44,0.32909678422225014,1.566152572631836,73.5,1,1.5633115615844726,72.38999938964844,0.25573586359346434
45,0.1,45,0.0,1.562518196105957,75.5,10,1.517552346611023,72.26000213623047,7.450658910097591
46,0.1,46,0.020712579558259607,1.5166839599609374,74.0,3,1.5024759044647218,72.69000244140625,1.4381611758710666
47,0.1,47,0.00509021263882565,1.5004332733154297,74.5,1,1.4975481674194335,72.86000061035156,0.8620310568918353
48,0.1,48,0.0,1.4955941772460937,74.5,10,1.4515605876922608,74.27999877929688,7.450658910097591
49,0.1,49,0.02069399981002789,1.4499293899536132,75.0,1,1.4459086132049561,74.26000213623047,0.5484771361207114
50,0.1,50,0.0,1.4439168930053712,76.5,10,1.4064506713867186,74.18000030517578,7.450658910097591
51,0.1,51,0.027675546776845295,1.4039178085327149,74.5,2,1.3980225196838378,74.22000122070312,1.6104084068737814
52,0.1,52,0.05581919748248765,1.395178909301758,74.5,1,1.3953473175048827,73.4000015258789,0.4222121533273957
53,0.1,53,0.03837708263847482,1.3916418075561523,74.5,3,1.3872379592895507,73.30999755859375,1.0187509446677074
54,0.1,54,0.0,1.3828236770629883,73.5,10,1.3514810800552368,73.88999938964844,7.450658910097591
55,0.1,55,0.008262536225667883,1.3484693145751954,74.0,1,1.3482793928146362,73.06999969482422,0.7450658910097592
56,0.1,56,0.0,1.3443550872802734,74.5,10,1.3036835556030273,75.44999694824219,7.450658910097591
57,0.1,57,0.0,1.3012525177001952,77.5,10,1.2675714393615722,74.5199966430664,7.450658910097591
58,0.1,58,0.019675988897304594,1.266000633239746,76.5,2,1.2604449768066406,74.47000122070312,1.7537658534983607
59,0.1,59,0.0,1.2585672760009765,76.5,10,1.2288097122192383,73.69999694824219,7.450658910097591
60,0.1,60,0.0,1.2260314559936523,73.5,10,1.186680913543701,76.5199966430664,7.450658910097591
61,0.1,61,0.028658031163237563,1.1837420272827148,74.0,1,1.1828425254821777,76.4800033569336,0.8917347966065253
62,0.1,62,0.3587319844402373,1.1800830459594727,74.0,1,1.1792989154815674,76.70999908447266,0.25573586359346434
63,0.1,63,0.0,1.1768206787109374,76.0,10,1.1512845397949218,76.02999877929688,7.450658910097591
64,0.1,64,0.0,1.148837127685547,80.0,10,1.1406710136413574,73.04000091552734,7.450658910097591
65,0.1,65,0.0,1.1375170516967774,76.0,10,1.10778747882843,74.30000305175781,7.450658910097591
