,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.9,0,0.07814568522215425,2.3063292694091797,9.0,100,1.9439891052246094,41.0,45.320077755502915
1,0.9,1,0.0729732365060208,1.9439891052246094,41.0,100,1.500824317932129,53.0,45.00826631509674
2,0.9,2,0.06647633307387865,1.500824317932129,53.0,100,1.353014259338379,60.0,45.334539828873716
3,0.9,3,0.06177186470310093,1.353014259338379,60.0,100,1.063151512145996,70.0,45.766488806922844
4,0.9,4,0.05451849208231939,1.063151512145996,70.0,100,0.9254101371765137,69.0,45.323409491518426
5,0.9,5,0.05417261817279177,0.9254101371765137,69.0,100,0.8340021705627442,76.5,46.310967351271145
6,0.9,6,0.0506829603084388,0.8340021705627442,76.5,100,0.7729793930053711,75.5,44.8675204052198
7,0.9,7,0.05088525352760565,0.7729793930053711,75.5,100,0.7165459823608399,76.5,46.39271944203174
8,0.9,8,0.046082695613806686,0.7165459823608399,76.5,100,0.6669695281982422,78.5,45.41003507114286
9,0.9,9,0.04588367947440226,0.6669695281982422,78.5,100,0.6401126098632812,79.0,46.31096735127117
10,0.9,10,0.043455524855153985,0.6401126098632812,79.0,100,0.5954312896728515,80.5,45.7429564532104
11,0.9,11,0.04366360344073682,0.5954312896728515,80.5,100,0.5813915252685546,80.0,46.24204389400585
12,0.9,12,0.04346042375285586,0.5813915252685546,80.0,100,0.5491493988037109,82.0,45.742956453210404
13,0.9,13,0.041414544581374745,0.5491493988037109,82.0,100,0.5396084403991699,81.0,46.80762305893973
14,0.9,14,0.04030322705406334,0.5396084403991699,81.0,100,0.5147903823852539,83.0,45.74295645321041
15,0.9,15,0.04027657608089083,0.5147903823852539,83.0,100,0.5117704963684082,80.5,46.806456295421114
16,0.9,16,0.039209240578533616,0.5117704963684082,80.5,100,0.49169532775878905,82.5,46.25572574295399
17,0.9,17,0.03887581313186043,0.49169532775878905,82.5,100,0.4896626281738281,81.0,46.74550004190996
18,0.9,18,0.03660582597317846,0.4896626281738281,81.0,100,0.47017075538635256,82.0,46.32574472208922
19,0.9,19,0.037330826833589625,0.47017075538635256,82.0,100,0.47232133865356446,82.5,47.236211914719114
20,0.9,20,0.03627258400176734,0.47232133865356446,82.5,100,0.4548514747619629,82.5,46.3509890022344
21,0.9,21,0.036461309190851825,0.4548514747619629,82.5,100,0.45824501037597654,83.5,47.23621191471912
22,0.9,22,0.034334688128394394,0.45824501037597654,83.5,100,0.4423641109466553,83.0,46.3509890022344
23,0.9,23,0.033975686787233124,0.4423641109466553,83.0,100,0.4416140937805176,84.0,47.006779916917
24,0.9,24,0.03534393146751256,0.4416140937805176,84.0,100,0.4313319206237793,84.0,46.21029317650645
25,0.9,25,0.03350183917394717,0.4313319206237793,84.0,100,0.4333507537841797,83.0,46.82841889618915
26,0.9,26,0.031903339100215235,0.4333507537841797,83.0,100,0.42013954162597655,84.0,45.94973573237685
27,0.9,27,0.03184267420398162,0.42013954162597655,84.0,100,0.4261850070953369,84.5,46.24204389400584
28,0.9,28,0.030472139711592773,0.4261850070953369,84.5,100,0.4137950038909912,84.5,47.236211914719114
29,0.9,29,0.031009315305460066,0.4137950038909912,84.5,100,0.4158840370178223,84.5,46.35098900223441
30,0.9,30,0.030896162903586107,0.4158840370178223,84.5,100,0.4082917594909668,84.0,47.23621191471913
31,0.9,31,0.030058318466870147,0.4082917594909668,84.0,100,0.41177059173583985,85.0,46.35098900223441
32,0.9,32,0.028650357380918832,0.41177059173583985,85.0,100,0.40401803016662596,84.5,47.15329306043992
33,0.9,33,0.029239243969791634,0.40401803016662596,84.5,100,0.40580355644226074,84.0,46.3509890022344
34,0.9,34,0.028590903079684375,0.40580355644226074,84.0,100,0.39915966987609863,83.0,46.748580287311455
35,0.9,35,0.028451749715295425,0.39915966987609863,83.0,100,0.4001370620727539,84.0,46.325744722089226
36,0.9,36,0.02925795525260803,0.4001370620727539,84.0,100,0.3935244560241699,83.5,46.97106794355101
37,0.9,37,0.028935789337575374,0.3935244560241699,83.5,100,0.39587735176086425,84.0,46.3509890022344
38,0.9,38,0.026871761816261334,0.39587735176086425,84.0,100,0.3887388515472412,85.0,47.23621191471913
39,0.9,39,0.02668681894449063,0.3887388515472412,85.0,100,0.3973606014251709,85.5,46.3509890022344
40,0.9,40,0.027069438643709188,0.3973606014251709,85.5,100,0.3881870460510254,86.5,47.153293060439914
41,0.9,41,0.02740516236067539,0.3881870460510254,86.5,100,0.39357297897338867,85.0,46.350989002234414
42,0.9,42,0.026519990556134642,0.39357297897338867,85.0,100,0.38457684516906737,86.0,47.15329306043992
43,0.9,43,0.025696529375608658,0.38457684516906737,86.0,100,0.3882861804962158,85.0,46.35098900223441
44,0.9,44,0.025490699621744294,0.3882861804962158,85.0,100,0.3796555042266846,85.5,46.971067943551006
45,0.9,45,0.02594282731529479,0.3796555042266846,85.5,100,0.3887999439239502,86.0,46.32574472208922
46,0.9,46,0.025348956792950267,0.3887999439239502,86.0,100,0.3764107608795166,84.5,46.290032748723235
47,0.9,47,0.02493663218651081,0.3764107608795166,84.5,100,0.3822450637817383,85.5,46.24282586781002
48,0.9,48,0.0247505523838638,0.3822450637817383,85.5,100,0.3766630268096924,85.5,46.46839376945106
49,0.9,49,0.02359860553332956,0.3766630268096924,85.5,100,0.37977861404418944,85.5,45.80737243806855
50,0.9,50,0.0239655654565291,0.37977861404418944,85.5,100,0.37342531204223633,86.0,46.290032748723235
51,0.9,51,0.02308423670800492,0.37342531204223633,86.0,100,0.3824618911743164,85.5,46.290032748723235
52,0.9,52,0.023236328315975878,0.3824618911743164,85.5,100,0.37275646209716795,86.5,45.80737243806853
53,0.9,53,0.023503661693128362,0.37275646209716795,86.5,100,0.37504344940185547,86.0,46.290032748723235
54,0.9,54,0.02212850201763656,0.37504344940185547,86.0,100,0.3744889450073242,86.5,45.72445358378935
55,0.9,55,0.021939147991596124,0.3744889450073242,86.5,100,0.372981014251709,85.5,46.733537740619184
56,0.9,56,0.020959679474207314,0.372981014251709,85.5,100,0.37241268157958984,86.0,45.80737243806854
57,0.9,57,0.02303736933449021,0.37241268157958984,86.0,100,0.37380548477172854,86.0,46.29003274872324
58,0.9,58,0.022459251419654307,0.37380548477172854,86.0,100,0.3717296600341797,85.5,45.80737243806853
59,0.9,59,0.02178997397851677,0.3717296600341797,85.5,100,0.3706581497192383,85.0,47.15329306043992
60,0.9,60,0.02185476017631771,0.3706581497192383,85.0,100,0.37323829650878904,86.0,45.73057474906641
61,0.9,61,0.0223611564202633,0.37323829650878904,86.0,100,0.3724869346618652,85.5,45.82908901442064
62,0.9,62,0.020313181534895305,0.3724869346618652,85.5,100,0.3661233901977539,85.0,45.770071311896956
63,0.9,63,0.02112336693667672,0.3661233901977539,85.0,100,0.3707220935821533,85.0,45.760165557155325
64,0.9,64,0.021146366716139252,0.3707220935821533,85.0,100,0.3630361270904541,85.0,46.46839376945106
65,0.9,65,0.020102515569954394,0.3630361270904541,85.0,100,0.3659192371368408,86.0,45.80737243806854
66,0.9,66,0.020838114293469986,0.3659192371368408,86.0,100,0.3640039157867432,86.0,46.29003274872323
67,0.9,67,0.020901753966687402,0.3640039157867432,86.0,100,0.36795650482177733,85.5,45.80737243806853
68,0.9,68,0.019239527726524413,0.36795650482177733,85.5,100,0.36404363632202147,86.5,46.81754421728288
69,0.9,69,0.019620823196228994,0.36404363632202147,86.5,100,0.3666501235961914,85.0,45.78540983730051
70,0.9,70,0.019639470585569144,0.3666501235961914,85.0,100,0.36069798469543457,86.5,46.29003274872322
71,0.9,71,0.01889023116149791,0.36069798469543457,86.5,100,0.3682716846466064,84.0,45.72445358378934
72,0.9,72,0.019369701938903517,0.3682716846466064,84.0,100,0.3608806037902832,87.0,45.952721379149935
73,0.9,73,0.019252742812633252,0.3608806037902832,87.0,100,0.36601853370666504,84.0,45.82908901442063
74,0.9,74,0.018245127787729656,0.36601853370666504,84.0,100,0.3619194793701172,87.0,46.29003274872323
