,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.3,0,0.4548127316635377,2.3118692779541017,11.5,40,2.2789070892333982,13.5,14.589486652333369
1,0.3,1,0.38578774252372144,2.2789070892333982,13.5,40,2.207210159301758,21.0,15.36016798989978
2,0.3,2,0.3285914710353205,2.207210159301758,21.0,40,2.102347564697266,34.5,13.973019119635676
3,0.3,3,0.26343428624428905,2.102347564697266,34.5,40,1.9622501373291015,48.5,17.852908795358434
4,0.3,4,0.2312082108249533,1.9622501373291015,48.5,40,1.8220095062255859,52.0,13.103730618478592
5,0.3,5,0.22727208972358043,1.8220095062255859,52.0,40,1.6917944717407227,59.5,16.70378102303202
6,0.3,6,0.19361342179240493,1.6917944717407227,59.5,40,1.5356798553466797,66.5,14.604527954330251
7,0.3,7,0.19884654722253217,1.5356798553466797,66.5,40,1.4288415908813477,66.0,17.60827054074479
8,0.3,8,0.19094918945750497,1.4288415908813477,66.0,40,1.2908161163330079,73.0,12.944927454108512
9,0.3,9,0.17176692188812137,1.2908161163330079,73.0,40,1.2005011749267578,72.0,14.25316847404902
10,0.3,10,0.17531270933869006,1.2005011749267578,72.0,40,1.0809957122802734,79.5,19.96857114037114
11,0.3,11,0.16963594148592026,1.0809957122802734,79.5,40,1.0411052322387695,77.0,15.544868638131545
12,0.3,12,0.1622613057968039,1.0411052322387695,77.0,40,0.9872262954711915,74.0,17.64611995154223
13,0.3,13,0.14056743288063606,0.9872262954711915,74.0,40,0.8927300643920898,79.5,15.585496785678881
14,0.3,14,0.13499603051661943,0.8927300643920898,79.5,40,0.8455724906921387,80.5,16.769353473667444
15,0.3,15,0.12934947026154492,0.8455724906921387,80.5,40,0.8098952674865723,82.5,15.110966046360828
16,0.3,16,0.13207325889339108,0.8098952674865723,82.5,40,0.7560650444030762,80.5,15.331271126927238
17,0.3,17,0.14305728055014008,0.7560650444030762,80.5,40,0.7328290557861328,83.0,12.831381851196108
18,0.3,18,0.14779231778488183,0.7328290557861328,83.0,40,0.6989732170104981,84.5,17.23548370498274
19,0.3,19,0.12845250843447759,0.6989732170104981,84.5,40,0.6587748146057129,84.5,13.572536450385025
20,0.3,20,0.14442109911803075,0.6587748146057129,84.5,40,0.6872872161865234,79.5,14.079965546219801
21,0.3,21,0.1341997285700064,0.6872872161865234,79.5,40,0.6031859588623046,84.5,13.594253578629877
22,0.3,22,0.13562215903132033,0.6031859588623046,84.5,40,0.6007354545593262,86.0,13.42594326195974
