,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.1,0,2.12323626832962,2.3033201599121096,10.0,5,2.303345718383789,10.0,26.211548555323002
1,0.1,1,2.005571962976456,2.303345718383789,10.0,5,2.3033903503417967,10.0,26.484286366235814
2,0.1,2,2.0722354328155523,2.3033903503417967,10.0,5,2.3035464477539063,10.0,27.05306490163524
3,0.1,3,1.925163800907135,2.3035464477539063,10.0,5,2.3036932373046874,9.5,27.257069080846012
4,0.1,4,1.9656664848804475,2.3036932373046874,9.5,5,2.303921356201172,10.0,8.558578268677335
5,0.1,5,1.8985353770017626,2.303921356201172,10.0,5,2.304024353027344,8.0,27.190448253213024
6,0.1,6,1.5349355519771575,2.304024353027344,8.0,5,2.304078598022461,5.5,26.424773320282135
7,0.1,7,1.761175129079819,2.304078598022461,5.5,5,2.3040814208984375,6.0,26.64433014783696
8,0.1,8,1.66457825319767,2.3040814208984375,6.0,5,2.3040421295166014,9.0,26.535351986786587
9,0.1,9,1.3483982576191427,2.3040421295166014,9.0,5,2.3041298675537107,10.0,26.029415920159472
10,0.1,10,1.6122529954910276,2.3041298675537107,10.0,5,2.3035643005371096,10.0,26.354068365351516
11,0.1,11,1.3625154975414275,2.3035643005371096,10.0,5,2.304381103515625,8.5,25.295587683635816
12,0.1,12,1.4108114074707032,2.304381103515625,8.5,5,2.3052212524414064,10.0,25.965756116066974
13,0.1,13,1.4745326683044433,2.3052212524414064,10.0,5,2.304369354248047,10.0,26.91612685095571
14,0.1,14,1.3878719123601913,2.304369354248047,10.0,5,2.307621536254883,10.0,26.61646618770165
15,0.1,15,1.2959909260034561,2.307621536254883,10.0,5,2.3052600860595702,10.0,26.983107532193593
16,0.1,16,1.2774287654876708,2.3052600860595702,10.0,5,2.3056993103027343,11.0,26.007264237453263
17,0.1,17,1.0659398295640945,2.3056993103027343,11.0,5,2.306498718261719,10.5,27.47683838095388
18,0.1,18,1.2611196065425871,2.306498718261719,10.5,5,2.306986312866211,10.0,25.60971436570167
19,0.1,19,1.257406733894348,2.306986312866211,10.0,5,2.3093099212646484,10.0,27.179661889411783
20,0.1,20,1.3877071772336957,2.3093099212646484,10.0,5,2.3117623138427734,10.0,26.339404382550388
21,0.1,21,1.3078730582237246,2.3117623138427734,10.0,5,2.3174459075927736,10.0,27.296729450199297
22,0.1,22,1.2347788670063018,2.3174459075927736,10.0,5,2.3229243469238283,10.0,26.952252679441198
23,0.1,23,1.379772836446762,2.3229243469238283,10.0,5,2.3272468566894533,11.5,26.826812901442636
24,0.1,24,1.2958538574934007,2.3272468566894533,11.5,5,2.3191551971435547,10.0,25.77843373717431
25,0.1,25,1.3045250183343886,2.3191551971435547,10.0,5,2.3227510833740235,10.0,26.84298550194187
26,0.1,26,1.2297335144758226,2.3227510833740235,10.0,5,2.326008148193359,10.0,26.28041742582953
27,0.1,27,1.3630785727024077,2.326008148193359,10.0,5,2.3433497619628905,12.5,26.286919942403788
28,0.1,28,1.3496618135213851,2.3433497619628905,12.5,5,2.364025802612305,10.0,26.678684079758987
29,0.1,29,1.1414805342435836,2.364025802612305,10.0,5,2.357809600830078,10.5,26.485353597406256
30,0.1,30,1.3511266114473344,2.357809600830078,10.5,5,2.3755287170410155,10.0,26.554658537258938
31,0.1,31,1.417325443506241,2.3755287170410155,10.0,5,2.363479995727539,10.0,25.89770000370839
32,0.1,32,1.2741887751340866,2.363479995727539,10.0,5,2.3429949951171873,10.0,27.043323701600357
33,0.1,33,1.2112761082410812,2.3429949951171873,10.0,5,2.3362554931640624,11.5,26.89186314162673
