,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.1,0,2.135626278591156,2.3033201599121096,10.0,5.0,2.303310123825073,9.869999885559082,2.83246484540953
1,0.1,1,1.9806924161434174,2.303429489135742,10.0,5.0,2.303527254104614,10.029999732971191,2.644742085844237
2,0.1,2,2.026287427210808,2.303689727783203,10.0,5.0,2.3034340270996094,8.229999542236328,1.7970825138307456
3,0.1,3,2.0807200957059857,2.303647308349609,9.5,5.0,2.30358125,8.550000190734863,3.2100478035641893
4,0.1,4,1.9141135066509247,2.303844680786133,7.5,5.0,2.30372890625,10.0,2.9007876576280025
5,0.1,5,1.7703577437877656,2.3041887664794922,10.0,5.0,2.3042086067199707,10.350000381469727,2.9555949616466535
6,0.1,6,1.6441167705535886,2.3050027465820313,9.5,5.0,2.3045764209747315,10.289999961853027,3.3360911352287057
7,0.1,7,1.7292483225822448,2.3054693603515624,11.0,5.0,2.3046563499450685,10.770000457763672,2.5425230469044457
8,0.1,8,1.5892139326810837,2.3056000518798827,11.5,5.0,2.3048926315307616,10.430000305175781,1.8128442444443709
9,0.1,9,1.52733184735775,2.3061135101318357,10.0,5.0,2.305607284927368,11.09000015258789,2.2453790626720447
10,0.1,10,1.4225383903264999,2.307084045410156,11.0,5.0,2.3056730716705323,10.65999984741211,1.7727632802491815
11,0.1,11,1.5194731771230696,2.3076415252685547,11.5,5.0,2.3062898612976075,10.039999961853027,2.4360215147514674
12,0.1,12,1.3469306887626646,2.3088339233398436,10.0,5.0,2.3103884811401367,10.0,2.6887969828239275
13,0.1,13,1.4680621106624603,2.31479736328125,10.0,5.0,2.313009086608887,10.0,1.7579846834668214
14,0.1,14,1.5229343668460846,2.3180891418457032,10.0,5.0,2.316048063659668,10.819999694824219,2.5466205985976957
15,0.1,15,1.4358623343467714,2.321361236572266,12.0,5.0,2.3208557579040527,10.4399995803833,1.5178731268548562
16,0.1,16,1.421522920012474,2.32673583984375,11.5,5.0,2.325010967254639,10.010000228881836,2.0859863787906696
17,0.1,17,1.2793230526328085,2.3323088836669923,10.0,5.0,2.3275460697174073,10.0,1.4825051128299607
18,0.1,18,1.2594910640001298,2.333829574584961,10.0,5.0,2.342427572631836,10.0,2.1812033223660867
19,0.1,19,1.4008155931234358,2.349837341308594,10.0,5.0,2.3462049400329588,10.0,2.5395534933655273
20,0.1,20,1.1836762815713882,2.3538098907470704,10.0,5.0,2.342015842437744,10.930000305175781,2.861623337975728
21,0.1,21,1.3219497849225998,2.3500946044921873,11.5,5.0,2.3389249114990234,11.020000457763672,1.0701685945691002
22,0.1,22,1.3819379860401153,2.3455451202392577,10.0,5.0,2.337301770401001,10.0,2.672240481242949
23,0.1,23,1.1584641881227493,2.3431155395507814,10.0,5.0,2.34884253616333,10.920000076293945,2.9496202694205533
24,0.1,24,1.203917203658819,2.3561002349853517,9.5,5.0,2.361281922531128,14.449999809265137,3.137855368403047
25,0.1,25,1.2686180084109306,2.368780059814453,12.5,5.0,2.3481169410705567,10.0,2.997581011747269
26,0.1,26,1.2233751004457474,2.3533074951171873,10.0,5.0,2.3602333419799804,10.0,2.7988718702203705
27,0.1,27,1.287641224527359,2.3696842193603516,10.0,5.0,2.350186310195923,14.9399995803833,2.9259442827287176
28,0.1,28,1.116016510605812,2.356928939819336,16.0,5.0,2.3416756397247314,10.0,3.3190680251648788
29,0.1,29,1.4203022449493408,2.346076736450195,10.0,5.0,2.3635919021606444,10.050000190734863,0.5955937219915808
30,0.1,30,1.0742708827495577,2.368844680786133,10.0,5.0,2.3748600101470947,12.510000228881836,3.640905246541271
31,0.1,31,1.4201105478763578,2.380752182006836,11.5,5.0,2.376054280090332,13.119999885559082,2.4483940623769245
32,0.1,32,1.2637565987348558,2.383478546142578,12.0,5.0,2.392515761947632,10.880000114440918,3.313974643780144
33,0.1,33,1.3445429573774337,2.399475326538086,11.0,5.0,2.383987934112549,9.989999771118164,3.9886190560660615
34,0.1,34,1.194431994712353,2.3909617614746095,10.0,5.0,2.378373342514038,11.729999542236328,3.1625712300123747
35,0.1,35,1.1834242733836173,2.3871124267578123,12.5,5.0,2.356807804107666,10.020000457763672,3.7186730418956793
36,0.1,36,1.2640085277318953,2.365234146118164,10.0,5.0,2.338829438781738,13.850000381469727,3.2789964008298744
37,0.1,37,1.267590797352791,2.347579879760742,13.5,5.0,2.3186420967102053,13.420000076293945,2.2190730385692485
