,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.1,0,0.5308913604325305,2.2973719024658203,8.0,1,2.2998356323242186,6.739999771118164,0.7186736102672562
1,0.1,1,0.529781097387895,2.2968244171142578,8.5,1,2.2983852462768555,8.619999885559082,0.2840826151687623
2,0.1,2,0.4970773545450842,2.295578918457031,12.5,2,2.29549574508667,9.5600004196167,1.0291485061785215
3,0.1,3,0.39740951928379803,2.293234100341797,11.5,3,2.2924320919036867,8.970000267028809,0.8602127341479935
4,0.1,4,0.5136329064921786,2.2903506469726564,13.0,1,2.2909258666992187,10.100000381469727,0.2840826151687623
5,0.1,5,0.11272496059403558,2.2890556335449217,14.0,1,2.290206495666504,9.729999542236328,0.15391796565183546
6,0.1,6,0.0,2.2882598876953124,12.5,10,2.2737222419738767,12.600000381469727,7.450658910097591
7,0.1,7,0.4210079552869622,2.275531921386719,13.0,1,2.2726061782836915,12.640000343322754,0.5484771361207114
8,0.1,8,0.0,2.2744698333740234,13.0,10,2.2498354484558107,16.209999084472656,7.450658910097591
9,0.1,9,0.0,2.2542646026611326,17.5,10,2.2252520740509034,24.920000076293945,7.450658910097591
10,0.1,10,0.4416720382162991,2.2324752044677734,22.5,2,2.222628044128418,22.350000381469727,0.5398184787622267
11,0.1,11,0.4349933379081389,2.2304046630859373,22.5,1,2.222502658843994,22.579999923706055,0.4222121533273957
12,0.1,12,0.0,2.2303369140625,23.0,10,2.197019972229004,26.489999771118164,7.450658910097591
13,0.1,13,0.35965742536316003,2.20670524597168,26.0,1,2.193653834152222,27.790000915527344,0.7450658910097592
14,0.1,14,0.18992509253685663,2.2034239196777343,24.5,1,2.1901498935699464,29.579999923706055,0.5807503638471095
15,0.1,15,0.3414572761813178,2.200683364868164,26.5,1,2.1870260654449463,30.049999237060547,0.7450658910097592
16,0.1,16,0.3741613841770838,2.198414993286133,28.0,1,2.1840889434814454,32.150001525878906,0.2840826151687623
17,0.1,17,0.17016209330722173,2.196311187744141,30.5,3,2.1743604717254637,32.959999084472656,1.5644261586643822
18,0.1,18,0.3773253737576306,2.186776885986328,30.0,1,2.1710767269134523,34.02000045776367,0.4222121533273957
19,0.1,19,0.3510226774557183,2.1843643188476562,31.0,1,2.1690904773712156,31.190000534057617,0.7186736102672562
20,0.1,20,0.35755575917855215,2.1826563262939453,30.0,1,2.1668846515655518,31.770000457763672,0.2840826151687623
21,0.1,21,0.0,2.18056884765625,28.5,10,2.130716983795166,43.16999816894531,7.450658910097591
22,0.1,22,0.18050586385710277,2.1470691680908205,36.5,2,2.122666970062256,42.459999084472656,0.7023951017725468
23,0.1,23,0.0,2.139424057006836,37.5,10,2.092562328338623,34.470001220703125,7.450658910097591
24,0.1,24,0.2378674458308221,2.114462432861328,33.0,2,2.0856083465576174,37.150001525878906,0.8648329790158719
25,0.1,25,0.14202551773126476,2.108594284057617,34.5,2,2.077466033935547,38.959999084472656,1.7537658534983607
26,0.1,26,0.318107610422497,2.10144157409668,36.0,2,2.0672518741607666,42.13999938964844,0.9706892894481071
27,0.1,27,0.29092368176827826,2.091529769897461,40.5,1,2.0614156326293944,42.779998779296875,0.5484771361207114
28,0.1,28,0.0,2.0859698486328124,40.0,10,2.021809874343872,45.58000183105469,7.450658910097591
29,0.1,29,0.05480765600977744,2.0496844482421874,41.0,1,2.0183434122085573,46.86000061035156,0.15391796565183546
30,0.1,30,0.0,2.046416015625,42.0,10,1.9776279941558839,46.4900016784668,7.450658910097591
31,0.1,31,0.3189071717648767,2.007524948120117,45.5,2,1.9683615036010742,48.0099983215332,0.9744094738607205
32,0.1,32,0.0,1.9984889221191406,48.5,10,1.92312264213562,47.88999938964844,7.450658910097591
33,0.1,33,0.0,1.956871871948242,48.0,10,1.8761917627334594,51.099998474121094,7.450658910097591
34,0.1,34,0.17853602096142615,1.9118589782714843,51.0,2,1.8665068655014039,53.189998626708984,1.1177669204852996
35,0.1,35,0.046343754761297776,1.9023970031738282,51.5,1,1.8608275312423705,53.130001068115234,0.8620310568918353
36,0.1,36,0.0,1.8978054809570313,52.5,10,1.8144763793945313,60.369998931884766,7.450658910097591
37,0.1,37,0.2982187152502592,1.8530088806152343,58.0,2,1.8053383855819702,59.310001373291016,0.67794801692086
38,0.1,38,0.0,1.8438224029541015,56.0,10,1.7550512783050538,63.220001220703125,7.450658910097591
39,0.1,39,0.0,1.795365447998047,61.0,10,1.719511223602295,60.63999938964844,7.450658910097591
40,0.1,40,0.2571995942761552,1.759585189819336,56.5,3,1.7006095024108887,63.029998779296875,0.9620306320896224
41,0.1,41,0.2371703587193042,1.7412676239013671,59.0,1,1.696920310974121,62.939998626708984,0.7186736102672562
42,0.1,42,0.0,1.7378406524658203,57.0,10,1.6514300849914552,69.04000091552734,7.450658910097591
43,0.1,43,0.0,1.6950885009765626,65.5,10,1.6021716594696045,70.45999908447266,7.450658910097591
44,0.1,44,0.26087684351640444,1.6497325897216797,65.5,1,1.5917458387374879,71.61000061035156,0.25573586359346434
45,0.1,45,0.0,1.6393001174926758,66.0,10,1.5575162549972534,65.33999633789062,7.450658910097591
46,0.1,46,0.10546441630497094,1.607710075378418,61.5,3,1.5419767707824708,64.0,1.4381611758710666
47,0.1,47,0.03767235030718644,1.5923231887817382,60.5,1,1.5374547693252563,63.54999923706055,0.8620310568918353
48,0.1,48,0.0,1.5884392547607422,60.5,10,1.486395817565918,69.80999755859375,7.450658910097591
49,0.1,49,0.17827031811582855,1.5384181594848634,66.0,1,1.4806422983169556,70.2300033569336,0.5484771361207114
50,0.1,50,0.0,1.5327021026611327,67.5,10,1.4500712003707885,70.0199966430664,7.450658910097591
51,0.1,51,0.1785163507454369,1.5023129653930665,67.5,2,1.439049490737915,70.83999633789062,1.6104084068737814
52,0.1,52,0.2179209191487947,1.490959358215332,69.5,1,1.4390286893844604,69.83000183105469,0.4222121533273957
53,0.1,53,0.10559070878130834,1.4906125640869141,68.5,3,1.4235499954223634,71.01000213623047,1.0187509446677074
54,0.1,54,0.0,1.4746942138671875,69.0,10,1.3931337223052978,71.04000091552734,7.450658910097591
55,0.1,55,0.20086887839948758,1.4465712356567382,69.0,1,1.393078544807434,70.58000183105469,0.7450658910097592
56,0.1,56,0.0,1.4459848022460937,67.0,10,1.3430884552001954,73.58000183105469,7.450658910097591
57,0.1,57,0.0,1.3999400329589844,71.0,10,1.3129161037445067,72.2300033569336,7.450658910097591
58,0.1,58,0.08578135308590407,1.3716029739379882,68.0,2,1.3039408212661743,74.51000213623047,1.7537658534983607
59,0.1,59,0.0,1.3632698440551758,70.5,10,1.2690072673797608,74.58999633789062,7.450658910097591
60,0.1,60,0.0,1.3290451431274415,72.0,10,1.2223153387069703,78.19999694824219,7.450658910097591
61,0.1,61,0.1360495252031736,1.282497673034668,77.0,1,1.2165374114990235,79.2699966430664,0.8917347966065253
62,0.1,62,0.2107612554061537,1.2775354766845703,77.0,1,1.208638238143921,80.19999694824219,0.25573586359346434
63,0.1,63,0.0,1.2702992248535157,76.5,10,1.1738921571731566,78.79000091552734,7.450658910097591
64,0.1,64,0.0,1.237706756591797,76.0,10,1.1637434440612793,75.08000183105469,7.450658910097591
65,0.1,65,0.0,1.2271271514892579,71.0,10,1.1322494894981385,76.2699966430664,7.450658910097591
66,0.1,66,0.188607451802042,1.1939236450195312,72.0,1,1.1285646389007569,76.37999725341797,0.7450658910097592
67,0.1,67,0.10538980635018748,1.1910665130615234,73.5,2,1.1131641667366028,78.04000091552734,0.4380005808205978
68,0.1,68,0.0,1.1769134521484375,74.5,10,1.0902099814414978,78.08999633789062,7.450658910097591
69,0.1,69,0.0,1.1563051223754883,72.5,10,1.0784543504714965,76.29000091552734,7.450658910097591
70,0.1,70,0.18314477113684313,1.141229705810547,74.5,2,1.0602055869102478,78.18000030517578,0.706294768496158
71,0.1,71,0.033305322411100825,1.1250211334228515,76.5,1,1.0572007986068725,77.80999755859375,0.8620310568918353
72,0.1,72,0.17615836382610722,1.1226404953002929,76.5,1,1.0522204998016358,78.30999755859375,0.7450658910097592
73,0.1,73,0.0,1.1178527069091797,75.5,10,1.0228064578056335,80.55000305175781,7.450658910097591
74,0.1,74,0.17958637129787045,1.0914403152465821,75.5,1,1.0243709002494812,79.70999908447266,0.7450658910097592
75,0.1,75,0.0,1.0933097076416016,74.0,10,1.0144659955978395,77.55999755859375,7.450658910097591
76,0.1,76,0.1926906912444004,1.0845205688476562,72.5,1,1.0100155459403992,77.91999816894531,0.7450658910097592
77,0.1,77,0.17197165808368786,1.0803354263305665,73.0,1,1.0098141680717467,77.61000061035156,0.7186736102672562
78,0.1,78,0.03073249870547027,1.0797274398803711,72.5,1,1.0133886207580567,77.11000061035156,0.15391796565183546
79,0.1,79,0.11000153729800627,1.0829732131958008,73.0,2,1.003208602619171,78.16000366210938,1.284243210219231
80,0.1,80,0.0,1.0736142349243165,74.5,10,0.9860285255432129,78.37000274658203,7.450658910097591
81,0.1,81,0.17369619943174863,1.0548983001708985,75.0,2,0.9896588945388793,77.43000030517578,0.9744094738607205
