,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.9,0,0.5425593100248053,2.327384033203125,4.0,100,2.1452488708496094,18.0,40.97092936722458
1,0.9,1,0.28910541277783014,2.1452488708496094,18.0,100,1.747339324951172,57.5,39.728345390006744
2,0.9,2,0.23367748456285287,1.747339324951172,57.5,100,1.4122803115844726,67.0,41.496369641654766
3,0.9,3,0.18419397750041758,1.4122803115844726,67.0,100,1.1140472030639648,74.0,40.352637434712946
4,0.9,4,0.17329380564522745,1.1140472030639648,74.0,100,0.9473803329467774,81.5,42.04353237301222
5,0.9,5,0.1485641078049687,0.9473803329467774,81.5,100,0.8090025329589844,82.5,40.498073178682695
6,0.9,6,0.14680552407276454,0.8090025329589844,82.5,100,0.7369963836669922,83.0,41.828176336710825
7,0.9,7,0.1289960838183998,0.7369963836669922,83.0,100,0.6512480354309083,84.5,40.4980731786827
8,0.9,8,0.13089830695978805,0.6512480354309083,84.5,100,0.6171356391906738,85.0,41.92278517461003
9,0.9,9,0.11986625055310927,0.6171356391906738,85.0,100,0.5570755195617676,85.0,40.786798926547306
10,0.9,10,0.11866780207088892,0.5570755195617676,85.0,100,0.5424053955078125,87.0,41.92278517461003
11,0.9,11,0.11048854854517265,0.5424053955078125,87.0,100,0.49869325637817385,85.5,41.150469149186286
12,0.9,12,0.11232307174192281,0.49869325637817385,85.5,100,0.4912194061279297,88.5,41.69128365657609
13,0.9,13,0.10665414562793814,0.4912194061279297,88.5,100,0.4627811431884766,88.5,42.769385277687284
14,0.9,14,0.10456765090644178,0.4627811431884766,88.5,100,0.44956331253051757,89.0,42.77242746577539
15,0.9,15,0.10141610742537209,0.44956331253051757,89.0,100,0.420427885055542,90.0,42.71488315585532
16,0.9,16,0.10007517361531061,0.420427885055542,90.0,100,0.4167067718505859,90.0,41.6912836565761
17,0.9,17,0.09630384514917815,0.4167067718505859,90.0,100,0.39165517807006833,90.5,42.7423540747958
18,0.9,18,0.09522299730759452,0.39165517807006833,90.5,100,0.39305529594421384,90.5,41.760914349540236
19,0.9,19,0.09422786617053289,0.39305529594421384,90.5,100,0.3726248455047607,90.0,42.78344848936076
20,0.9,20,0.09055028419401735,0.3726248455047607,90.0,100,0.3692313575744629,90.5,41.611259156334754
21,0.9,21,0.09003142603562754,0.3692313575744629,90.5,100,0.355189847946167,90.5,42.69836660200846
22,0.9,22,0.08810521780520654,0.355189847946167,90.5,100,0.35565954208374023,91.5,42.02087252755041
23,0.9,23,0.08640993670604799,0.35565954208374023,91.5,100,0.3408814334869385,90.5,42.423197323605244
24,0.9,24,0.08567688089311154,0.3408814334869385,90.5,100,0.33812512397766115,92.0,42.02087252755041
25,0.9,25,0.0838239335193251,0.33812512397766115,92.0,100,0.32543588638305665,91.0,42.28427758592417
26,0.9,26,0.08114777983921807,0.32543588638305665,91.0,100,0.3238051891326904,92.0,41.680889849298886
27,0.9,27,0.08165497238783324,0.3238051891326904,92.0,100,0.31179609298706057,91.0,42.008984828531716
28,0.9,28,0.07896039549700883,0.31179609298706057,91.0,100,0.3105787181854248,91.5,41.680889849298886
29,0.9,29,0.07961975764723948,0.3105787181854248,91.5,100,0.30236392974853515,91.0,41.76779819806388
