,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.1,0,0.4716077873054373,2.2973719024658203,8.0,10,2.2896066875457763,10.819999694824219,46.78656251732553
1,0.1,1,0.5101589483606421,2.28712158203125,12.0,10,2.274802974319458,12.270000457763672,44.99640773783721
2,0.1,2,0.4367859571748453,2.273916778564453,13.0,10,2.2541555717468262,16.530000686645508,46.17176848948449
3,0.1,3,0.4393319866678988,2.256030349731445,15.0,10,2.2325813766479494,17.020000457763672,46.41057421575025
4,0.1,4,0.38787250148825353,2.2374483489990236,17.0,10,2.207846111679077,16.549999237060547,47.298801672773024
5,0.1,5,0.33693794007855316,2.215791931152344,16.0,10,2.183392198562622,16.520000457763672,46.135584850398395
6,0.1,6,0.3102439500869742,2.1934151458740234,15.0,10,2.154459818649292,18.84000015258789,46.61055617954504
7,0.1,7,0.29611001073934096,2.168912887573242,14.5,10,2.122846650695801,22.899999618530273,44.87862614373109
8,0.1,8,0.25331203184310447,2.1426752471923827,20.5,10,2.0896055953979493,27.81999969482422,45.8338966662843
9,0.1,9,0.25339090163845684,2.1126267242431642,20.5,10,2.0417819664001464,36.36000061035156,48.41389419115963
10,0.1,10,0.23517761715669513,2.0678438568115234,34.0,10,1.9965574300765991,37.970001220703125,16.55587432924803
11,0.1,11,0.24933405457756336,2.027527084350586,33.5,10,1.957917314338684,36.16999816894531,15.109816495385136
12,0.1,12,0.2797005885351197,1.9929258728027344,30.5,10,1.9143779678344726,37.06999969482422,16.00071353956504
13,0.1,13,0.21390093802080168,1.952952651977539,31.5,10,1.8726196170806886,36.880001068115234,15.797037098277158
14,0.1,14,0.28872236387372985,1.9151473236083985,33.5,10,1.820474601173401,40.56999969482422,18.07398840986269
15,0.1,15,0.2839891632272764,1.8658454895019532,36.0,10,1.762307771873474,46.2599983215332,15.914204869021018
16,0.1,16,0.2199970465759955,1.809317855834961,42.5,10,1.7203720651626586,49.939998626708984,19.073012336323913
17,0.1,17,0.2783689459652673,1.770770034790039,46.0,10,1.6791696866989136,49.779998779296875,18.009938176001235
18,0.1,18,0.17501344946600011,1.7311347198486329,47.0,10,1.6302991888046265,55.650001525878906,16.659054574203253
19,0.1,19,0.291560902617765,1.6852416229248046,51.0,10,1.5989256763458253,53.150001525878906,17.735793703665582
20,0.1,20,0.15454994252210433,1.6546294784545899,49.5,10,1.547315895462036,59.02000045776367,16.431290724221483
21,0.1,21,0.24889702544749892,1.60594970703125,54.5,10,1.5035156478881837,65.56999969482422,16.500969203177892
22,0.1,22,0.1823116144451914,1.562623176574707,63.0,10,1.4554759939193727,68.44999694824219,16.46369375500764
