,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,0,Optimal,67.07624466001205,0.7657811641693115,100,71.0,30,71
1,1,Optimal,68.22436228542703,10.929811954498291,100,70.0,43,68
2,2,Optimal,69.45804457829959,0.41132593154907227,100,72.0,42,69
3,3,Optimal,62.615958791300045,4.799566030502319,100,65.0,33,63
4,4,Optimal,68.86126729749343,1.0470776557922363,100,72.0,36,71
5,5,Optimal,63.7539562290597,1.6124041080474854,100,67.0,28,65
6,6,Optimal,69.72924112118768,0.4920358657836914,100,72.0,33,67
7,7,Optimal,73.91697239581372,1.4363811016082764,100,77.0,39,76
8,8,Optimal,72.53394394494265,0.3913290500640869,100,76.0,32,70
9,9,Optimal,69.49663242540356,0.7453560829162598,100,72.0,42,68
10,0,Optimal,93.41724198851033,1.4394149780273438,200,99.0,41,96
11,1,Optimal,89.39748780127054,1.8508741855621338,200,93.0,43,90
12,2,Optimal,86.79743954625152,121.80173897743225,200,90.0,44,85
13,3,Optimal,88.54593877095992,1.159174919128418,200,92.0,46,90
14,4,Optimal,97.17474971818974,1.1863961219787598,200,103.0,37,95
15,5,Optimal,96.20702007213757,122.26749801635742,200,100.0,45,95
16,6,Optimal,98.99989046552025,1.3396098613739014,200,103.0,48,95
17,7,Optimal,91.11149467794382,122.49658799171448,200,95.0,46,93
18,8,Optimal,100.29240812173832,1.3560090065002441,200,104.0,52,96
19,9,Optimal,93.75349489008883,0.9585480690002441,200,98.0,44,90
20,0,Optimal,123.99627524531574,122.99220514297485,300,131.0,47,115
21,1,Optimal,96.21068460177185,122.23408484458923,300,101.0,47,90
22,2,Optimal,114.30235322319929,2.7990918159484863,300,119.0,56,107
23,3,Optimal,104.34602324793093,122.9761893749237,300,108.0,49,101
24,4,Optimal,115.02249691956231,4.46653413772583,300,122.0,39,108
25,5,Optimal,111.89452663133916,120.88365006446838,300,118.0,45,112
26,6,Optimal,119.28574904200038,2.6350789070129395,300,126.0,56,114
27,7,Optimal,112.09873226495819,122.95244097709656,300,118.0,45,97
28,8,Optimal,120.80763882439425,48.51730394363403,300,126.0,57,120
29,9,Optimal,109.8442880681272,8.941581010818481,300,116.0,50,98
30,0,Optimal,137.29000734028477,121.43316626548767,400,147.0,46,125
31,1,Optimal,112.94006837519659,121.88222885131836,400,119.0,46,101
32,2,Optimal,122.8773388308577,2.183993101119995,400,130.0,50,115
33,3,Optimal,126.39480356907818,4.500235080718994,400,133.0,59,117
34,4,Optimal,129.63729783593723,124.34582614898682,400,140.0,41,120
35,5,Optimal,129.70971823538775,122.51673483848572,400,137.0,51,119
36,6,Optimal,136.07565820592495,3.838312864303589,400,144.0,55,120
37,7,Optimal,130.55675078049674,2.666822910308838,400,140.0,55,109
38,8,Optimal,136.79822569921743,35.2426540851593,400,144.0,58,127
39,9,Optimal,132.95457369786374,2.6192078590393066,400,143.0,46,120
40,0,Optimal,149.65774464549298,130.4291796684265,500,160.0,54,135
41,1,Optimal,128.40453004123077,5.219274997711182,500,138.0,39,120
42,2,Optimal,144.35864308954004,5.79674506187439,500,156.0,42,123
43,3,Optimal,144.54267736604265,121.43028020858765,500,154.0,63,129
44,4,Optimal,148.04227736251764,124.29640913009644,500,160.0,48,134
45,5,Optimal,151.55581785362227,3.0192761421203613,500,163.0,53,128
46,6,Optimal,149.4897614120396,4.005273818969727,500,161.0,50,131
47,7,Optimal,134.11387974545642,123.91617107391357,500,146.0,36,112
48,8,Optimal,162.42452489218374,9.121969938278198,500,172.0,65,145
49,9,Optimal,148.10667240486137,124.53637194633484,500,160.0,50,136
50,0,Optimal,168.6790915224313,20.213255882263184,600,183.0,52,141
51,1,Optimal,147.53441400774156,4.067160606384277,600,160.0,45,126
52,2,Optimal,155.29186441763989,2.843806028366089,600,171.0,37,126
53,3,Optimal,156.30951062695044,128.63944816589355,600,168.0,55,140
54,4,Optimal,165.11770409884792,3.316761016845703,600,179.0,56,146
55,5,Optimal,167.901596707711,2.1752521991729736,600,181.0,57,143
56,6,Optimal,167.3159331103507,88.11335515975952,600,182.0,55,140
57,7,Optimal,164.65258435325245,5.297952890396118,600,179.0,47,135
58,8,Optimal,172.8804254236846,3.7220659255981445,600,190.0,46,140
59,9,Optimal,175.44350173066377,2.763536214828491,600,191.0,56,154
60,0,Optimal,173.87754214903643,125.07745003700256,700,188.0,53,145
61,1,Optimal,166.42909008972816,123.7809431552887,700,184.0,44,134
62,2,Optimal,162.84687378755007,123.27026677131653,700,176.0,57,147
63,3,Optimal,181.29504086592698,122.86583495140076,700,196.0,62,157
64,4,Optimal,177.08463688150823,123.64606881141663,700,194.0,51,148
65,5,Optimal,194.72508493613074,3.311117172241211,700,213.0,44,166
66,6,Optimal,187.944517354773,3.7929630279541016,700,208.0,53,153
67,7,Optimal,169.49992197860033,12.23199200630188,700,189.0,35,138
68,8,Optimal,190.59641836162305,121.54138803482056,700,207.0,63,162
69,9,Optimal,164.0415431968571,124.671067237854,700,179.0,55,136
70,0,Optimal,195.48258538517692,4.968545198440552,800,215.0,52,168
71,1,Optimal,177.40463061594318,123.0904929637909,800,197.0,40,138
72,2,Optimal,183.2307996237327,4.198461055755615,800,204.0,45,150
73,3,Optimal,192.75323877198664,19.52477502822876,800,211.0,56,163
74,4,Optimal,183.03657226974428,3.830557107925415,800,199.0,60,156
75,5,Optimal,201.4110436944903,3.319516897201538,800,224.0,51,167
76,6,Optimal,190.9225836242529,124.44899988174438,800,214.0,47,156
77,7,Optimal,204.38078769995917,5.891133069992065,800,231.0,35,162
78,8,Optimal,202.88234723078165,123.049556016922,800,227.0,55,164
79,9,Optimal,207.62147725242914,19.06137204170227,800,230.0,44,163
80,0,Optimal,221.47736742836557,3.353795051574707,900,244.0,56,180
81,1,Optimal,184.14426712844198,123.67802619934082,900,206.0,42,150
82,2,Optimal,195.05373948094206,9.129118204116821,900,218.0,44,162
83,3,Optimal,192.19508727410783,123.7148060798645,900,215.0,48,146
84,4,Optimal,194.28707676414274,21.369214057922363,900,216.0,51,153
85,5,Optimal,202.03461522635365,7.850589036941528,900,227.0,40,168
86,6,Optimal,216.58279573759128,124.48798513412476,900,242.0,62,170
87,7,Optimal,196.78481261571773,125.58416509628296,900,224.0,49,154
88,8,Optimal,213.0813533666441,77.56997299194336,900,239.0,46,176
89,9,Optimal,206.34358959108198,125.64994812011719,900,228.0,56,173
90,0,Optimal,240.72250537446513,7.50938606262207,1000,269.0,48,193
91,1,Optimal,202.71105851035904,60.48109698295593,1000,231.0,38,154
92,2,Optimal,203.47019043705552,19.5661780834198,1000,231.0,45,156
93,3,Optimal,234.46051765926205,42.704967975616455,1000,266.0,61,180
94,4,Optimal,189.84907412486206,14.179855823516846,1000,218.0,34,148
95,5,Optimal,209.96526588427636,18.029186964035034,1000,240.0,41,160
96,6,Optimal,236.79026499376505,86.75951838493347,1000,268.0,49,186
97,7,Optimal,214.9383096686645,5.06750226020813,1000,252.0,37,156
98,8,Optimal,228.22177314086258,122.7661521434784,1000,261.0,37,189
99,9,Optimal,225.35834116480044,17.415681838989258,1000,257.0,42,173
100,0,EGP,53.16150292787419,0.010667085647583008,100,57.0,24,57
101,1,EGP,59.39750143146294,0.009731769561767578,100,61.0,38,61
102,2,EGP,59.05101412590499,0.010562896728515625,100,62.0,29,59
103,3,EGP,50.83527149554363,0.010677099227905273,100,53.0,27,52
104,4,EGP,54.262815283437504,0.010828018188476562,100,57.0,30,56
105,5,EGP,51.567817627672895,0.010623931884765625,100,55.0,19,54
106,6,EGP,52.84593063186836,0.011948108673095703,100,55.0,24,52
107,7,EGP,57.41191047869149,0.010843038558959961,100,60.0,33,60
108,8,EGP,62.45161869410979,0.011215686798095703,100,66.0,28,62
109,9,EGP,58.233060563513064,0.01019597053527832,100,61.0,33,60
110,0,EGP,76.8397932940222,0.025060176849365234,200,81.0,38,79
111,1,EGP,75.6670248793678,0.023419857025146484,200,79.0,34,76
112,2,EGP,81.12205050476615,0.023064851760864258,200,85.0,35,83
113,3,EGP,72.45163858010666,0.023556232452392578,200,76.0,34,74
114,4,EGP,77.47123638133839,0.026418209075927734,200,82.0,33,76
115,5,EGP,78.45147202132767,0.02402210235595703,200,83.0,34,79
116,6,EGP,88.02486733150909,0.027630090713500977,200,93.0,39,89
117,7,EGP,71.36337985017742,0.022562742233276367,200,75.0,31,74
118,8,EGP,89.01157047873059,0.025065898895263672,200,93.0,46,86
119,9,EGP,84.47358406097669,0.02161884307861328,200,89.0,39,82
120,0,EGP,108.54285456682678,0.03629899024963379,300,115.0,41,102
121,1,EGP,83.21388620605673,0.035974979400634766,300,88.0,34,75
122,2,EGP,106.80073133416242,0.03833174705505371,300,112.0,48,97
123,3,EGP,86.51465136727435,0.03902316093444824,300,90.0,39,86
124,4,EGP,93.28297639199434,0.04755806922912598,300,99.0,31,88
125,5,EGP,92.5923718011521,0.04713892936706543,300,98.0,37,95
126,6,EGP,102.93853979061947,0.044406890869140625,300,110.0,40,97
127,7,EGP,90.37476069526663,0.03871011734008789,300,95.0,35,81
128,8,EGP,104.22351805886659,0.049207210540771484,300,109.0,45,102
129,9,EGP,88.35835594628112,0.04195976257324219,300,94.0,33,78
130,0,EGP,113.03671294882075,0.06474494934082031,400,122.0,29,103
131,1,EGP,91.21563324673329,0.05584383010864258,400,98.0,32,83
132,2,EGP,110.42075954767877,0.06624007225036621,400,117.0,43,102
133,3,EGP,115.74631633795575,0.05246782302856445,400,123.0,49,107
134,4,EGP,108.39694293877967,0.06139016151428223,400,117.0,38,102
135,5,EGP,119.04036319353644,0.059806108474731445,400,126.0,42,107
136,6,EGP,112.01238702205382,0.05630207061767578,400,119.0,43,97
137,7,EGP,106.70413969075632,0.05691814422607422,400,115.0,38,90
138,8,EGP,119.50690641673961,0.05614113807678223,400,126.0,48,110
139,9,EGP,123.30643516054691,0.06209397315979004,400,133.0,43,111
140,0,EGP,134.13271385454897,0.07898092269897461,500,144.0,42,119
141,1,EGP,115.94122613356117,0.06858301162719727,500,125.0,33,106
142,2,EGP,124.68163856329953,0.08015012741088867,500,135.0,39,105
143,3,EGP,132.16139615976076,0.06670212745666504,500,141.0,52,117
144,4,EGP,123.25100407611482,0.0900259017944336,500,132.0,40,114
145,5,EGP,127.60386974906541,0.07945895195007324,500,137.0,39,108
146,6,EGP,125.13366111947157,0.07396912574768066,500,134.0,47,109
147,7,EGP,115.97739490286568,0.0702521800994873,500,127.0,33,96
148,8,EGP,141.63923934657203,0.08025193214416504,500,151.0,50,126
