,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,0,GSP-GRS,14.863591298379653,80.19101405143738,100,16,7,16
1,1,GSP-GRS,15.603213420212878,68.91600799560547,100,16,6,15
2,2,GSP-GRS,5.5141071714244,53.68923807144165,100,9,3,9
3,0,GSP-GRS,25.03056201452309,43.15229916572571,200,36,15,35
4,1,GSP-GRS,24.3055168591126,35.130237102508545,200,39,14,35
5,2,GSP-GRS,27.87619446640754,39.958213806152344,200,42,13,39
6,0,GSP-GRS,38.289166772767665,34.488126039505005,300,64,18,58
7,1,GSP-GRS,32.20557848628557,28.003756046295166,300,57,13,47
8,2,GSP-GRS,29.25635709415783,23.569994926452637,300,54,16,48
9,0,GSP-GRS,37.877520696068736,23.593910932540894,400,83,35,73
10,1,GSP-GRS,38.35890357172687,21.277787923812866,400,105,28,86
11,2,GSP-GRS,38.471148065206904,20.906059980392456,400,103,30,87
12,0,GSP-GRS,51.30967933964039,20.04220414161682,500,136,25,110
13,1,GSP-GRS,57.15599913613183,18.878929138183594,500,135,24,97
14,2,GSP-GRS,38.646164879058496,14.920500993728638,500,111,28,86
15,0,GSP-GRS,53.23837691371333,17.92098593711853,600,177,39,144
16,1,GSP-GRS,41.63438830182297,14.167107820510864,600,139,22,100
17,2,GSP-GRS,55.50666391417031,14.255892992019653,600,186,45,138
18,0,GSP-GRS,62.13906633240886,15.490991115570068,700,210,48,162
19,1,GSP-GRS,70.2644317716592,14.83513593673706,700,186,37,130
20,2,GSP-GRS,63.23131345539091,11.843394041061401,700,185,41,134
21,0,GSP-GRS,70.06859643373582,13.95027208328247,800,205,36,150
22,1,GSP-GRS,66.09791752755886,12.612675905227661,800,189,30,131
23,2,GSP-GRS,59.43976473236843,10.604923248291016,800,200,51,144
24,0,GSP-GRS,71.97448560425927,12.456070899963379,900,246,53,185
25,1,GSP-GRS,60.87334054953217,11.56577205657959,900,270,38,167
26,2,GSP-GRS,68.11966663844002,9.627670049667358,900,190,35,136
27,0,GSP-GRS,92.52712807456726,12.151478052139282,1000,323,71,238
28,1,GSP-GRS,74.81417513291831,11.25183892250061,1000,256,41,145
29,2,GSP-GRS,63.93403426943174,8.435688018798828,1000,284,44,164
