,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,0,EGP,77.32545042691292,0.0248410701751709,100,84,10,54
1,1,EGP,83.28132560961774,0.029815196990966797,100,91,6,56
2,2,EGP,82.90470623355907,0.030204057693481445,100,91,9,49
3,3,EGP,88.3833830711193,0.026332855224609375,100,96,9,63
4,4,EGP,80.39292510756623,0.031133174896240234,100,86,12,48
5,5,EGP,75.9930630321532,0.02421879768371582,100,82,8,52
6,6,EGP,78.61531485297682,0.02636098861694336,100,86,5,55
7,7,EGP,87.10038594066859,0.03227400779724121,100,95,9,61
8,8,EGP,74.37162663119423,0.02629995346069336,100,81,8,52
9,9,EGP,85.32099074735686,0.027092933654785156,100,93,5,62
10,10,EGP,83.54091546995585,0.026979923248291016,100,91,7,53
11,11,EGP,81.66758474243132,0.030104875564575195,100,88,6,58
12,12,EGP,78.68667037950864,0.0264742374420166,100,85,7,57
13,13,EGP,81.19392824561666,0.026619911193847656,100,90,6,50
14,14,EGP,81.90996734810679,0.02831411361694336,100,89,11,56
15,15,EGP,86.21961791741379,0.024523019790649414,100,95,8,46
16,16,EGP,84.9059372620931,0.031993865966796875,100,93,7,55
17,17,EGP,80.68112135184886,0.0247800350189209,100,87,14,59
18,18,EGP,86.0793113029874,0.03122091293334961,100,94,9,56
19,19,EGP,78.87874749437945,0.024829864501953125,100,85,3,57
20,20,EGP,86.64224687521525,0.023896217346191406,100,95,8,53
21,21,EGP,87.65161769658864,0.02543187141418457,100,96,9,57
22,22,EGP,82.29080098364476,0.030768871307373047,100,89,17,58
23,23,EGP,81.02672090371883,0.02684807777404785,100,88,8,55
24,24,EGP,78.01509101302028,0.025220870971679688,100,84,5,52
25,25,EGP,81.41279317427234,0.0295412540435791,100,87,10,58
26,26,EGP,82.98336088361343,0.028515100479125977,100,89,16,53
27,27,EGP,81.87315366535735,0.03127312660217285,100,89,9,56
28,28,EGP,80.89939912735919,0.03170299530029297,100,87,9,59
29,29,EGP,79.78499064049396,0.028515100479125977,100,86,12,54
30,30,EGP,79.5300392595148,0.02669525146484375,100,86,10,54
31,31,EGP,87.15146507220422,0.03261590003967285,100,94,8,63
32,32,EGP,80.59047506657136,0.024464130401611328,100,88,6,50
33,33,EGP,86.26662133966181,0.029526233673095703,100,94,10,58
34,34,EGP,79.84210580861797,0.026093721389770508,100,87,8,48
35,35,EGP,85.95910058178212,0.029388904571533203,100,93,7,53
36,36,EGP,86.9454287654224,0.027315378189086914,100,94,12,60
37,37,EGP,84.31309715910623,0.029783010482788086,100,92,11,58
38,38,EGP,87.52571199360142,0.028398990631103516,100,96,10,49
39,39,EGP,83.43507800571615,0.03379487991333008,100,91,7,53
40,40,EGP,80.70716318017807,0.02168893814086914,100,88,12,47
41,41,EGP,79.79850243430727,0.02470993995666504,100,87,6,56
42,42,EGP,87.00732174500035,0.02697300910949707,100,95,11,55
43,43,EGP,79.90484651162735,0.02468705177307129,100,87,11,49
44,44,EGP,81.04272609685258,0.025855064392089844,100,89,7,56
45,45,EGP,85.49219203039847,0.02880406379699707,100,92,13,62
46,46,EGP,85.53796282656154,0.029743194580078125,100,93,10,60
47,47,EGP,80.44295567381658,0.0261383056640625,100,88,8,55
48,48,EGP,86.79838889535328,0.021867990493774414,100,95,11,53
49,49,EGP,87.3698693072308,0.0326380729675293,100,95,9,59
50,50,EGP,71.57975983779006,0.03152275085449219,100,77,4,50
51,51,EGP,77.53924559054799,0.02840590476989746,100,84,14,51
52,52,EGP,80.57112163405418,0.023308992385864258,100,88,7,53
53,53,EGP,82.16960713178362,0.030987024307250977,100,88,15,60
54,54,EGP,77.88463323383698,0.02834796905517578,100,85,5,48
55,55,EGP,83.74313597116218,0.032952070236206055,100,90,12,61
56,56,EGP,79.98767243307657,0.024288177490234375,100,86,6,55
57,57,EGP,84.38112602472465,0.027646303176879883,100,92,5,54
58,58,EGP,76.63477005531716,0.027468204498291016,100,83,5,50
59,59,EGP,86.89524593459643,0.026011228561401367,100,94,15,63
60,60,EGP,86.3958634797016,0.026444196701049805,100,93,14,61
61,61,EGP,76.34933808522146,0.031220197677612305,100,82,10,49
62,62,EGP,85.37086462897612,0.028435945510864258,100,92,10,63
63,63,EGP,85.25309655726126,0.029067039489746094,100,93,11,58
64,64,EGP,82.44136973363018,0.033525943756103516,100,89,6,55
65,65,EGP,84.4557739999672,0.03165316581726074,100,92,3,49
66,66,EGP,79.42742573631946,0.033551931381225586,100,87,12,48
67,67,EGP,79.98627700776338,0.03210806846618652,100,86,7,48
68,68,EGP,80.69380530162377,0.02745819091796875,100,88,6,50
69,69,EGP,81.25185885263691,0.02875804901123047,100,87,13,68
70,70,EGP,83.59233467633806,0.029787063598632812,100,91,13,53
71,71,EGP,88.3263633393159,0.028065919876098633,100,97,7,53
72,72,EGP,81.77542953194924,0.03052806854248047,100,89,11,53
73,73,EGP,79.58002587848895,0.02912306785583496,100,86,10,53
74,74,EGP,81.68789628440678,0.029502153396606445,100,88,11,52
75,75,EGP,79.89918545329058,0.029421091079711914,100,88,4,51
76,76,EGP,74.72752035450479,0.0288388729095459,100,82,6,58
77,77,EGP,85.01414756757183,0.031694889068603516,100,92,8,57
78,78,EGP,82.92839406783564,0.03094196319580078,100,90,6,54
79,79,EGP,80.70299518542038,0.030050992965698242,100,86,11,63
80,80,EGP,76.03509164879026,0.029378175735473633,100,82,6,57
81,81,EGP,84.7462418012484,0.027371883392333984,100,92,11,60
82,82,EGP,80.92203373969046,0.029735803604125977,100,88,10,59
83,83,EGP,84.55038317100654,0.02673792839050293,100,91,8,60
84,84,EGP,81.47440540655454,0.028632164001464844,100,89,7,52
85,85,EGP,80.54995033004923,0.02704310417175293,100,87,10,48
86,86,EGP,80.03339245304979,0.02752089500427246,100,88,9,51
87,87,EGP,80.62506219146175,0.025439977645874023,100,88,7,49
88,88,EGP,86.4290352594104,0.02779078483581543,100,94,10,62
89,89,EGP,83.68468452945747,0.025809764862060547,100,90,14,56
90,90,EGP,85.9326323975473,0.030176639556884766,100,93,6,52
91,91,EGP,90.21458864720196,0.025475025177001953,100,97,12,74
92,92,EGP,85.46571763838428,0.02527022361755371,100,93,7,44
93,93,EGP,80.49215106928344,0.027292966842651367,100,88,5,56
94,94,EGP,86.79310503155557,0.03283405303955078,100,94,13,56
95,95,EGP,90.19161206342889,0.027117013931274414,100,97,8,65
96,96,EGP,85.25152213959736,0.02891063690185547,100,92,10,56
97,97,EGP,85.45543522057642,0.026376962661743164,100,94,9,52
98,98,EGP,77.18566095933241,0.02520895004272461,100,83,8,49
99,99,EGP,86.93234719489234,0.027617692947387695,100,96,4,51
100,0,EGP,113.90540817009656,0.0641930103302002,200,125,11,71
101,1,EGP,108.03912825909762,0.06328701972961426,200,118,14,57
102,2,EGP,112.22566164640735,0.04576301574707031,200,122,21,70
103,3,EGP,94.80936415296702,0.0649559497833252,200,105,9,55
104,4,EGP,112.19314986706661,0.04988503456115723,200,123,14,63
105,5,EGP,110.19894302710158,0.06086397171020508,200,120,15,65
106,6,EGP,107.5167981956446,0.061942100524902344,200,118,8,56
107,7,EGP,117.57474309691705,0.06311511993408203,200,130,7,62
108,8,EGP,107.39339901845246,0.06320595741271973,200,117,10,72
109,9,EGP,122.68473125143188,0.06522703170776367,200,135,10,61
110,10,EGP,110.6433352927144,0.06044197082519531,200,121,9,70
111,11,EGP,98.54440015310773,0.05039715766906738,200,107,15,60
112,12,EGP,116.95727969905874,0.06434202194213867,200,127,7,73
113,13,EGP,104.15954573468348,0.06880998611450195,200,113,8,66
114,14,EGP,109.56415456248669,0.06139636039733887,200,121,7,61
115,15,EGP,101.84971584745324,0.0587460994720459,200,111,12,63
116,16,EGP,113.72738045085848,0.05962705612182617,200,124,11,67
117,17,EGP,108.00830160105888,0.05258321762084961,200,117,12,64
118,18,EGP,110.23799290680664,0.05337214469909668,200,121,15,74
119,19,EGP,120.69801209464585,0.06386828422546387,200,132,6,70
120,20,EGP,108.71225283584177,0.06507587432861328,200,120,11,55
121,21,EGP,112.22411180266367,0.06687378883361816,200,122,11,72
122,22,EGP,112.92509105388471,0.05216813087463379,200,123,10,64
123,23,EGP,106.16076528854231,0.056855201721191406,200,117,12,59
124,24,EGP,106.52140596557598,0.06902599334716797,200,116,9,69
125,25,EGP,113.11253499782894,0.05793261528015137,200,124,10,64
126,26,EGP,114.29194206332102,0.054116249084472656,200,126,8,69
127,27,EGP,109.40504782994242,0.05571603775024414,200,119,10,67
128,28,EGP,102.22765317904302,0.05917716026306152,200,112,7,64
129,29,EGP,113.02170629900999,0.06607317924499512,200,124,6,64
130,30,EGP,105.4039139706694,0.06768512725830078,200,114,13,64
131,31,EGP,131.14888453769794,0.08089590072631836,200,142,12,87
132,32,EGP,105.80020097491791,0.05692434310913086,200,115,14,61
133,33,EGP,101.28577209764919,0.06676006317138672,200,110,8,61
134,34,EGP,114.29494928813631,0.06222224235534668,200,124,15,66
135,35,EGP,100.86138537412698,0.06357812881469727,200,110,9,67
136,36,EGP,122.26040461107641,0.06532716751098633,200,134,11,70
137,37,EGP,96.3424270392859,0.05673503875732422,200,105,7,56
138,38,EGP,120.07136306197204,0.058712005615234375,200,135,5,60
139,39,EGP,117.08254937958925,0.05866193771362305,200,127,14,75
140,40,EGP,106.27238464145813,0.07222390174865723,200,115,10,68
141,41,EGP,112.47678199443186,0.06017112731933594,200,122,19,64
142,42,EGP,111.43970074704609,0.061583757400512695,200,121,16,66
143,43,EGP,106.50649365723314,0.0508878231048584,200,118,9,51
144,44,EGP,113.79349872218833,0.05351972579956055,200,125,6,58
145,45,EGP,112.12805503128644,0.06256103515625,200,124,5,68
146,46,EGP,118.65590820915999,0.061392784118652344,200,130,9,63
147,47,EGP,104.8095414990276,0.05705404281616211,200,114,14,67
148,48,EGP,92.19108402452444,0.03847026824951172,200,101,11,53
149,49,EGP,111.13505986938809,0.05925393104553223,200,122,11,66
150,50,EGP,111.90698426958072,0.05358004570007324,200,122,11,70
151,51,EGP,100.9205466861718,0.06662225723266602,200,108,15,72
152,52,EGP,106.28631430685218,0.06616592407226562,200,118,11,60
153,53,EGP,107.56505338421013,0.058136940002441406,200,118,9,58
154,54,EGP,121.28113161948409,0.048050880432128906,200,133,9,62
155,55,EGP,107.61607996370033,0.05451393127441406,200,118,14,64
156,56,EGP,110.1214374930306,0.04848599433898926,200,120,14,65
157,57,EGP,111.98526793959303,0.06350994110107422,200,123,8,54
158,58,EGP,111.31976234629221,0.06705403327941895,200,122,12,65
159,59,EGP,112.58440048713362,0.05539584159851074,200,124,2,68
160,60,EGP,127.18963395615474,0.07914423942565918,200,141,6,69
161,61,EGP,99.21270422308189,0.061012983322143555,200,109,4,62
162,62,EGP,110.3620104621519,0.05580902099609375,200,119,8,65
163,63,EGP,116.85493581100732,0.05749201774597168,200,128,11,69
164,64,EGP,116.81307530291876,0.05638289451599121,200,129,4,56
165,65,EGP,107.64068955882439,0.05385613441467285,200,118,10,69
166,66,EGP,96.08727246867696,0.058896780014038086,200,104,9,60
167,67,EGP,96.30088158762375,0.05029416084289551,200,103,9,68
168,68,EGP,111.37816104647209,0.06368613243103027,200,121,11,71
169,69,EGP,113.04585228316033,0.07191085815429688,200,123,16,76
170,70,EGP,106.40260236784385,0.055143117904663086,200,114,13,71
171,71,EGP,107.81101581521517,0.049929141998291016,200,117,11,69
172,72,EGP,112.5433014418636,0.07316184043884277,200,122,8,67
173,73,EGP,103.95629339374122,0.06059384346008301,200,113,15,64
174,74,EGP,113.87719549291386,0.06836771965026855,200,124,18,72
175,75,EGP,101.90506840512832,0.05938220024108887,200,111,11,67
176,76,EGP,109.07262839023007,0.06342887878417969,200,118,12,70
177,77,EGP,113.08778485149836,0.05999422073364258,200,124,9,62
178,78,EGP,118.98877240817015,0.06627917289733887,200,130,13,62
179,79,EGP,103.78983043093768,0.06473398208618164,200,111,16,73
180,80,EGP,93.4656301674853,0.05984902381896973,200,101,14,61
181,81,EGP,105.67191229896916,0.06179094314575195,200,115,13,65
182,82,EGP,105.13236019397448,0.05426192283630371,200,116,9,59
183,83,EGP,111.32474375981987,0.05386519432067871,200,121,9,67
184,84,EGP,94.48798636850182,0.06533002853393555,200,102,10,60
185,85,EGP,100.05635236171479,0.05696892738342285,200,109,10,54
186,86,EGP,114.17290999707068,0.06416010856628418,200,126,7,66
187,87,EGP,114.70266896403713,0.06460380554199219,200,125,8,77
188,88,EGP,114.16245932578161,0.0629889965057373,200,123,14,79
189,89,EGP,106.9786270460595,0.0637669563293457,200,117,8,61
190,90,EGP,102.16421327383748,0.05369114875793457,200,113,8,58
191,91,EGP,101.73438456407125,0.061830997467041016,200,111,13,63
192,92,EGP,113.8662568692884,0.06436276435852051,200,125,9,72
193,93,EGP,108.9861064265667,0.050308942794799805,200,119,15,71
194,94,EGP,104.98429206316261,0.0671532154083252,200,114,9,64
195,95,EGP,99.91976556848392,0.056130170822143555,200,110,10,60
196,96,EGP,103.07945614924739,0.06422019004821777,200,112,8,67
197,97,EGP,117.33413324889463,0.06036210060119629,200,129,7,68
198,98,EGP,105.34333882202796,0.050644874572753906,200,116,9,59
199,99,EGP,95.82110235607075,0.048827171325683594,200,105,11,59
200,0,EGP,126.79746713326459,0.09309101104736328,300,144,4,59
201,1,EGP,118.16512152909944,0.11103701591491699,300,135,6,58
202,2,EGP,131.36247447672184,0.09926199913024902,300,148,8,63
203,3,EGP,121.9508297504536,0.09050607681274414,300,138,3,58
204,4,EGP,123.22352407204474,0.09862017631530762,300,139,8,75
205,5,EGP,128.56980607726044,0.09821677207946777,300,146,5,63
206,6,EGP,115.47253549816146,0.10242795944213867,300,132,7,60
207,7,EGP,132.45041467190399,0.10949110984802246,300,149,8,74
208,8,EGP,132.7615366178379,0.12601399421691895,300,151,5,56
209,9,EGP,126.21937125842722,0.09650588035583496,300,145,8,53
210,10,EGP,125.66943704342151,0.08993220329284668,300,143,7,53
211,11,EGP,133.0248640534467,0.0972752571105957,300,151,10,60
212,12,EGP,135.8207036284703,0.10882687568664551,300,157,10,63
213,13,EGP,131.88587868080134,0.08834099769592285,300,149,6,69
214,14,EGP,128.29088856109084,0.1015920639038086,300,148,4,56
215,15,EGP,123.42123418960708,0.1131598949432373,300,141,12,54
216,16,EGP,126.43536052457753,0.0869603157043457,300,144,10,63
217,17,EGP,127.8712557506221,0.09209609031677246,300,146,8,67
218,18,EGP,127.39132113918014,0.0834958553314209,300,146,4,67
219,19,EGP,127.96182552081096,0.11460399627685547,300,146,9,65
220,20,EGP,130.285470645216,0.10372781753540039,300,148,5,57
221,21,EGP,122.0016329545699,0.10587501525878906,300,137,8,61
222,22,EGP,115.19915490277423,0.10653471946716309,300,133,8,48
223,23,EGP,132.26627040678426,0.12048506736755371,300,150,8,68
224,24,EGP,126.32164083480882,0.0931239128112793,300,143,11,60
225,25,EGP,132.14145036397898,0.09230732917785645,300,150,5,64
226,26,EGP,132.47208430993473,0.08409595489501953,300,152,3,63
227,27,EGP,132.63567093873036,0.10323214530944824,300,152,6,55
228,28,EGP,119.60205080138567,0.10186290740966797,300,136,7,58
229,29,EGP,123.612619751756,0.10172724723815918,300,142,7,51
230,30,EGP,121.53644371318255,0.08885788917541504,300,138,7,58
231,31,EGP,121.36368819446243,0.10768294334411621,300,138,10,64
232,32,EGP,138.5205437728062,0.08515715599060059,300,155,11,74
233,33,EGP,113.7675565630143,0.09883403778076172,300,129,7,58
234,34,EGP,127.76956753120994,0.09823274612426758,300,144,14,64
235,35,EGP,113.5985070241999,0.09419798851013184,300,129,11,51
236,36,EGP,131.69644903215104,0.10906982421875,300,150,10,66
237,37,EGP,128.13962775281144,0.10533976554870605,300,143,8,77
238,38,EGP,114.58809657921351,0.09585785865783691,300,131,4,48
239,39,EGP,123.20087188385946,0.11937499046325684,300,140,9,62
240,40,EGP,111.9854803992088,0.11343979835510254,300,127,8,55
241,41,EGP,130.05340242123143,0.08880996704101562,300,148,7,68
242,42,EGP,119.20421188176017,0.10738110542297363,300,136,10,58
243,43,EGP,119.64479925904763,0.11488008499145508,300,136,8,66
244,44,EGP,138.40762046674888,0.10587000846862793,300,161,6,61
245,45,EGP,124.06495116028269,0.16444182395935059,300,140,11,59
246,46,EGP,138.26002457331495,0.23523306846618652,300,159,7,69
247,47,EGP,119.3953035585584,0.12992382049560547,300,137,9,59
248,48,EGP,126.0013360886104,0.1437091827392578,300,143,8,63
249,49,EGP,125.2895333454458,0.10417318344116211,300,139,9,74
250,50,EGP,118.32950100390066,0.09715509414672852,300,137,12,48
251,51,EGP,116.48691656841882,0.08389616012573242,300,134,7,58
252,52,EGP,128.6074143995856,0.09900903701782227,300,148,8,56
253,53,EGP,120.61743795469594,0.11104893684387207,300,137,9,61
254,54,EGP,142.51435963036218,0.11840391159057617,300,163,9,54
255,55,EGP,114.82991048585706,0.12419819831848145,300,129,6,64
256,56,EGP,129.9675770157915,0.10155677795410156,300,146,13,71
257,57,EGP,124.26110401370713,0.12482500076293945,300,141,7,61
258,58,EGP,119.09848440904767,0.11788296699523926,300,134,6,58
259,59,EGP,129.06878715301545,0.10661506652832031,300,146,5,74
260,60,EGP,138.4686052355931,0.10597896575927734,300,159,8,60
261,61,EGP,129.21276960376247,0.10393190383911133,300,147,8,60
262,62,EGP,121.21406167161808,0.11927580833435059,300,137,8,59
263,63,EGP,109.26005373417405,0.10356593132019043,300,124,8,57
264,64,EGP,119.02456075189176,0.12255406379699707,300,135,13,61
265,65,EGP,120.39040781989803,0.12084197998046875,300,138,5,57
266,66,EGP,123.91344611972474,0.11192917823791504,300,141,9,64
267,67,EGP,128.31032404686258,0.09444403648376465,300,145,5,60
268,68,EGP,111.72560348859265,0.09090089797973633,300,127,1,50
269,69,EGP,139.66749790661132,0.08688712120056152,300,156,13,82
270,70,EGP,125.6449476639711,0.0909891128540039,300,144,10,66
271,71,EGP,114.1883410029828,0.12502336502075195,300,130,9,55
272,72,EGP,135.54341973467746,0.14908289909362793,300,154,9,64
273,73,EGP,135.65714179635228,0.10021591186523438,300,153,6,66
274,74,EGP,129.90076925628276,0.11335611343383789,300,143,14,74
275,75,EGP,123.33608142324456,0.07175588607788086,300,142,9,67
276,76,EGP,142.6938844565881,0.1178889274597168,300,161,12,80
277,77,EGP,113.74495053053016,0.08376502990722656,300,131,11,52
278,78,EGP,120.4805871445964,0.12077903747558594,300,134,9,63
279,79,EGP,123.51878636682936,0.09061670303344727,300,140,6,67
280,80,EGP,104.32145616274863,0.10776805877685547,300,118,11,59
281,81,EGP,124.20540533296982,0.0879209041595459,300,144,6,62
282,82,EGP,133.53758680338703,0.09118223190307617,300,152,8,69
283,83,EGP,140.31273825889556,0.09960293769836426,300,160,6,74
284,84,EGP,129.19906886626367,0.12148571014404297,300,145,7,72
285,85,EGP,115.39482821662165,0.0924220085144043,300,133,5,47
286,86,EGP,135.63943893356912,0.11163806915283203,300,155,10,76
287,87,EGP,130.37269951132203,0.11702799797058105,300,148,10,72
288,88,EGP,126.53787040916319,0.09131908416748047,300,143,12,61
289,89,EGP,131.27439265136582,0.11413908004760742,300,147,14,70
290,90,EGP,125.55538574861826,0.09923100471496582,300,143,9,65
291,91,EGP,129.24714544783208,0.11520624160766602,300,144,9,68
292,92,EGP,129.88025802717087,0.10222005844116211,300,148,7,57
293,93,EGP,120.50665556425382,0.09371089935302734,300,140,7,54
294,94,EGP,125.14222455991909,0.10249996185302734,300,143,5,57
295,95,EGP,127.7829134647641,0.1079549789428711,300,146,11,55
296,96,EGP,128.55551265395601,0.11458301544189453,300,148,8,50
297,97,EGP,127.92231911003505,0.11692595481872559,300,145,11,75
298,98,EGP,102.21952772036438,0.0889747142791748,300,117,8,61
299,99,EGP,123.86805955226995,0.11013197898864746,300,139,11,68
300,0,EGP,136.49550093907857,0.15035676956176758,400,171,3,49
301,1,EGP,134.6878664983604,0.1732621192932129,400,163,5,61
302,2,EGP,123.802556384267,0.12698912620544434,400,154,2,41
303,3,EGP,140.48113941990636,0.15199017524719238,400,172,2,42
