,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,0,Optimal,46.52146484029831,0.22773385047912598,50,50.0,7,40
1,1,Optimal,45.141362910364066,0.3464620113372803,50,48.0,11,37
2,2,Optimal,46.24196950205734,0.20090103149414062,50,50.0,9,32
3,3,Optimal,45.91971646640864,0.25125789642333984,50,50.0,4,43
4,4,Optimal,46.53935093963603,0.3099179267883301,50,50.0,11,40
5,5,Optimal,46.923919729910466,0.21387815475463867,50,50.0,9,42
6,6,Optimal,46.550239967645155,0.22092604637145996,50,50.0,5,38
7,7,Optimal,46.26164084674274,0.2293097972869873,50,50.0,8,38
8,8,Optimal,46.47349393876062,0.2540867328643799,50,50.0,6,38
9,9,Optimal,46.229720691899765,0.24346184730529785,50,50.0,9,42
10,0,Optimal,89.68221709016592,0.35007476806640625,100,98.0,8,61
11,1,Optimal,83.72462064952822,0.4401688575744629,100,93.0,10,58
12,2,Optimal,88.82980006935358,0.34058284759521484,100,98.0,5,67
13,3,Optimal,87.95660148765515,0.6138622760772705,100,97.0,11,62
14,4,Optimal,82.43338987875539,0.6425008773803711,100,91.0,6,62
15,5,Optimal,85.11888053490948,0.5194251537322998,100,95.0,9,45
16,6,Optimal,84.93552033641578,0.4767317771911621,100,93.0,7,53
17,7,Optimal,88.128001266948,0.6231999397277832,100,97.0,11,52
18,8,Optimal,85.1930556746252,0.47362399101257324,100,93.0,8,50
19,9,Optimal,89.37054882594367,0.5476400852203369,100,98.0,5,54
20,0,Optimal,111.24920768605945,1.2556359767913818,150,126.0,5,61
21,1,Optimal,121.24396895982564,0.7186949253082275,150,134.0,12,71
22,2,Optimal,107.32118903882277,1.4246540069580078,150,117.0,13,69
23,3,Optimal,110.75323085352085,0.7061691284179688,150,124.0,14,65
24,4,Optimal,118.52212784420554,65.72945308685303,150,133.0,10,61
25,5,Optimal,106.4650518577879,0.7545661926269531,150,120.0,7,48
26,6,Optimal,115.18260084003136,0.6193537712097168,150,128.0,4,61
27,7,Optimal,114.79180471660581,0.534325122833252,150,129.0,4,62
28,8,Optimal,108.67323135541224,0.5987341403961182,150,123.0,4,52
29,9,Optimal,116.53027759472805,1.1839408874511719,150,132.0,6,58
30,0,Optimal,130.75490581271237,0.716001033782959,200,149.0,7,60
31,1,Optimal,122.84562354336437,1.4986951351165771,200,138.0,8,69
32,2,Optimal,121.04627268844509,1.2952709197998047,200,139.0,4,67
33,3,Optimal,129.05427740444705,2.9648520946502686,200,150.0,6,58
34,4,Optimal,139.2028843673669,1.976154088973999,200,160.0,5,66
35,5,Optimal,121.8386903892144,1.0872061252593994,200,138.0,6,57
36,6,Optimal,135.40862958589528,0.9463350772857666,200,155.0,4,58
37,7,Optimal,135.12323809802558,2.137644052505493,200,155.0,3,57
38,8,Optimal,123.91050170081205,7.197943210601807,200,141.0,6,58
39,9,Optimal,133.1510731512547,79.28880620002747,200,151.0,8,59
40,0,Optimal,138.1202798875395,1.1560277938842773,250,160.0,5,61
41,1,Optimal,124.37901504404202,2.031121015548706,250,144.0,6,56
42,2,Optimal,133.18719527976697,2.3187849521636963,250,157.0,2,45
43,3,Optimal,139.97515399928923,675.4769558906555,250,165.0,6,46
44,4,Optimal,136.44728977685492,6.6952760219573975,250,161.0,4,59
45,5,Optimal,138.95680334537374,36464.191339969635,250,165.0,6,48
46,6,Optimal,137.50467721136354,50.43974828720093,250,162.0,3,50
47,7,Optimal,144.64823823364299,0.9965517520904541,250,171.0,1,48
48,8,Optimal,146.96630846108874,1.2028429508209229,250,172.0,7,61
49,9,Optimal,138.61410976137265,25.078150987625122,250,162.0,6,63
50,0,EGP,44.991732933360346,0.5269250869750977,50,48.0,11,37
51,1,EGP,46.78887891519518,0.5881862640380859,50,50.0,12,38
52,2,EGP,43.890926469351655,0.4536440372467041,50,47.0,7,36
53,3,EGP,46.7774420607043,0.5707430839538574,50,50.0,9,41
54,4,EGP,46.2342234632991,0.5088498592376709,50,50.0,9,33
55,5,EGP,45.71625455832826,0.47568488121032715,50,50.0,4,37
56,6,EGP,45.39896440898214,0.5875608921051025,50,49.0,4,38
57,7,EGP,45.70673821104883,0.41750502586364746,50,50.0,4,38
58,8,EGP,46.36456913791596,0.43062901496887207,50,50.0,6,35
59,9,EGP,46.09948391890769,0.4824509620666504,50,50.0,5,34
60,0,EGP,81.53221230803724,0.3629016876220703,100,89.0,4,46
61,1,EGP,84.38132269178135,0.4675159454345703,100,91.0,9,57
62,2,EGP,79.28265172933231,0.3534278869628906,100,86.0,8,49
63,3,EGP,78.71499249691902,0.5335049629211426,100,85.0,6,47
64,4,EGP,78.45093456023689,0.36019206047058105,100,85.0,14,56
65,5,EGP,73.94003963910332,0.4455280303955078,100,80.0,8,50
66,6,EGP,87.92186481945043,0.6009321212768555,100,96.0,13,55
67,7,EGP,79.97238882563494,0.44333887100219727,100,86.0,13,54
68,8,EGP,80.3557074000668,0.36217284202575684,100,87.0,7,51
69,9,EGP,78.68201302398766,0.4204230308532715,100,85.0,7,51
70,0,EGP,110.00160616376873,0.5398101806640625,150,121.0,14,71
71,1,EGP,98.57411570554677,0.43611717224121094,150,106.0,17,60
72,2,EGP,97.11571974858015,0.674401044845581,150,105.0,9,57
73,3,EGP,100.11279351079017,0.5155239105224609,150,108.0,10,66
74,4,EGP,97.23808778263603,0.5063891410827637,150,106.0,12,63
75,5,EGP,101.33857044198584,0.49446892738342285,150,111.0,15,66
76,6,EGP,98.18856804625077,0.5166351795196533,150,107.0,6,49
77,7,EGP,106.1390927898458,0.602799654006958,150,116.0,14,61
78,8,EGP,95.13797050667688,0.6817331314086914,150,103.0,7,60
79,9,EGP,101.71017811786263,0.6006579399108887,150,111.0,13,58
80,0,EGP,110.67738082775861,0.6929481029510498,200,120.0,11,64
81,1,EGP,111.88347487133467,0.5865890979766846,200,121.0,16,67
82,2,EGP,117.8842698761567,0.46190786361694336,200,128.0,14,74
83,3,EGP,111.6525421792799,0.5869090557098389,200,124.0,6,64
84,4,EGP,112.93875742951909,0.6976029872894287,200,123.0,13,61
85,5,EGP,107.78816558565538,0.5704262256622314,200,117.0,14,70
86,6,EGP,103.22348020670367,0.5440769195556641,200,114.0,4,48
87,7,EGP,128.29327078665852,0.6543290615081787,200,141.0,8,77
88,8,EGP,102.27228399754951,0.6639668941497803,200,112.0,13,62
89,9,EGP,104.481017543335,0.5131950378417969,200,116.0,6,56
