,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,0,Optimal,67.07624466001205,0.633368968963623,100,71.0,30,71
1,1,Optimal,68.22436228542703,9.993528842926025,100,70.0,43,68
2,2,Optimal,69.45804457829959,0.39162683486938477,100,72.0,42,69
3,3,Optimal,62.615958791300045,4.515777111053467,100,65.0,33,63
4,4,Optimal,68.86126729749343,0.9728989601135254,100,72.0,36,71
5,5,Optimal,63.7539562290597,1.5138509273529053,100,67.0,28,65
6,6,Optimal,69.72924112118768,0.48118090629577637,100,72.0,33,67
7,7,Optimal,73.91697239581372,1.315906047821045,100,77.0,39,76
8,8,Optimal,72.53394394494265,0.3642611503601074,100,76.0,32,70
9,9,Optimal,69.49663242540356,0.7112078666687012,100,72.0,42,68
10,0,Optimal,93.41724198851033,1.3063809871673584,200,99.0,41,96
11,1,Optimal,89.39748780127054,1.742279052734375,200,93.0,43,90
12,2,Optimal,86.79743954625152,121.54357886314392,200,90.0,44,85
13,3,Optimal,88.54593877095992,0.9216303825378418,200,92.0,46,90
14,4,Optimal,97.17474971818974,1.3770649433135986,200,103.0,37,95
15,5,Optimal,96.20702007213757,122.47765040397644,200,100.0,45,95
16,6,Optimal,98.99989046552025,1.3490548133850098,200,103.0,48,95
17,7,Optimal,91.11149467794382,122.01540875434875,200,95.0,46,93
18,8,Optimal,100.29240812173832,1.0665221214294434,200,104.0,52,96
19,9,Optimal,93.75349489008883,0.9496698379516602,200,98.0,44,90
20,0,Optimal,123.99627524531574,121.49681687355042,300,131.0,47,115
21,1,Optimal,96.21068460177185,121.90141010284424,300,101.0,47,90
22,2,Optimal,114.30235322319929,3.0685219764709473,300,119.0,56,107
23,3,Optimal,104.34602324793093,122.49139785766602,300,108.0,49,101
24,4,Optimal,115.02249691956231,4.253572940826416,300,122.0,39,108
25,5,Optimal,111.89452663133916,123.66461277008057,300,118.0,45,112
26,6,Optimal,119.28574904200038,2.873457193374634,300,126.0,56,114
27,7,Optimal,112.09873226495819,125.93447613716125,300,118.0,45,97
28,8,Optimal,120.80763882439425,53.0816867351532,300,126.0,57,120
29,9,Optimal,109.8442880681272,9.481860876083374,300,116.0,50,98
30,0,Optimal,137.29000734028477,120.97242188453674,400,147.0,46,125
31,1,Optimal,112.94006837519659,122.02386784553528,400,119.0,46,101
32,2,Optimal,122.8773388308577,2.1752731800079346,400,130.0,50,115
33,3,Optimal,126.39480356907818,4.47169303894043,400,133.0,59,117
34,4,Optimal,129.65654589112583,123.0539140701294,400,140.0,42,120
35,5,Optimal,129.70971823538775,121.78024291992188,400,137.0,51,119
36,6,Optimal,136.07565820592495,3.763688802719116,400,144.0,55,120
37,7,Optimal,130.55675078049674,2.6204099655151367,400,140.0,55,109
38,8,Optimal,136.79822569921743,34.77688694000244,400,144.0,58,127
39,9,Optimal,132.95457369786374,2.2147209644317627,400,143.0,46,120
40,0,Optimal,149.65774464549298,123.27248406410217,500,160.0,54,135
41,1,Optimal,128.40453004123077,5.180835247039795,500,138.0,39,120
42,2,Optimal,144.35864308954004,5.877024173736572,500,156.0,42,123
43,3,Optimal,144.54267736604265,121.96537494659424,500,154.0,63,129
44,4,Optimal,148.04227736251764,122.45499205589294,500,160.0,48,134
45,5,Optimal,151.55581785362227,3.006223201751709,500,163.0,53,128
46,6,Optimal,149.4897614120396,4.008648157119751,500,161.0,50,131
47,7,Optimal,134.11387974545642,124.05485010147095,500,146.0,36,112
48,8,Optimal,162.42452489218374,8.817442178726196,500,172.0,65,145
49,9,Optimal,148.10667240486137,122.97773599624634,500,160.0,50,136
50,0,Optimal,168.6790915224313,19.68309783935547,600,183.0,52,141
51,1,Optimal,147.53441400774156,3.708753824234009,600,160.0,45,126
52,2,Optimal,155.29186441763989,2.855113983154297,600,171.0,37,126
53,3,Optimal,156.30951062695044,123.27162575721741,600,168.0,55,140
54,4,Optimal,165.11770409884792,3.005002975463867,600,179.0,56,146
55,5,Optimal,167.901596707711,1.9835801124572754,600,181.0,57,143
56,6,Optimal,167.3159331103507,79.679927110672,600,182.0,55,140
57,7,Optimal,164.65258435325245,4.7690088748931885,600,179.0,47,135
58,8,Optimal,172.8804254236846,3.3808882236480713,600,190.0,46,140
59,9,Optimal,175.44350173066377,2.4929041862487793,600,191.0,56,154
60,0,Optimal,173.87754214903643,121.59372186660767,700,188.0,53,145
61,1,Optimal,166.42909008972816,124.01812982559204,700,184.0,44,134
62,2,Optimal,162.84687378755007,123.9446120262146,700,176.0,57,147
63,3,Optimal,181.29504086592698,126.02359795570374,700,196.0,62,157
64,4,Optimal,177.08463688150823,128.135155916214,700,194.0,51,148
65,5,Optimal,194.72508493613074,3.554440975189209,700,213.0,44,166
66,6,Optimal,187.944517354773,4.2257771492004395,700,208.0,53,153
67,7,Optimal,169.49992197860033,13.490880012512207,700,189.0,35,138
68,8,Optimal,190.59641836162305,122.54266786575317,700,207.0,63,162
69,9,Optimal,164.0415431968571,123.62106490135193,700,179.0,55,136
70,0,Optimal,195.48258538517692,5.09415602684021,800,215.0,52,168
71,1,Optimal,177.40463061594318,123.63847780227661,800,197.0,40,138
72,2,Optimal,183.2307996237327,4.180331230163574,800,204.0,45,150
73,3,Optimal,192.75323877198664,19.72150993347168,800,211.0,56,163
74,4,Optimal,183.03657226974428,3.8440141677856445,800,199.0,60,156
75,5,Optimal,201.4110436944903,3.3005828857421875,800,224.0,51,167
76,6,Optimal,190.9225836242529,124.01800799369812,800,214.0,47,156
77,7,Optimal,204.38078769995917,5.796726942062378,800,231.0,35,162
78,8,Optimal,202.88234723078165,123.3057599067688,800,227.0,55,164
79,9,Optimal,207.62147725242914,19.256978034973145,800,230.0,44,163
80,0,Optimal,221.47736742836557,3.269148349761963,900,244.0,56,180
81,1,Optimal,184.14426712844198,123.64635968208313,900,206.0,42,150
82,2,Optimal,195.05373948094206,9.1059730052948,900,218.0,44,162
83,3,Optimal,192.19508727410783,123.4561710357666,900,215.0,48,146
84,4,Optimal,194.28707676414274,21.373127222061157,900,216.0,51,153
85,5,Optimal,202.03461522635365,7.853633165359497,900,227.0,40,168
