,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,0,Optimal,66.99216987442993,0.7975931167602539,100,70.0,26,60
1,0,Optimal,87.35203278781762,98.82654905319214,200,93.0,18,70
2,0,Optimal,111.89335473011607,1.1697020530700684,300,122.0,16,93
3,0,Optimal,126.93084638488209,16.358661890029907,400,147.0,9,90
4,0,Optimal,139.2372606096885,14.042047023773193,500,163.0,15,88
5,0,Optimal,136.94994683192766,4.8369550704956055,600,169.0,9,87
6,0,Optimal,157.85129524353422,123.34018397331238,700,201.0,10,121
7,0,Optimal,152.83304881871166,3.6743900775909424,800,204.0,4,105
8,0,Optimal,180.2862576644497,45.14078402519226,900,247.0,10,115
9,0,Optimal,156.7873810996605,6.184884309768677,1000,223.0,7,116
10,0,EGP,64.70051694965487,0.008906126022338867,100,68.0,20,56
11,0,EGP,85.19432236575793,0.02393507957458496,200,93.0,22,68
12,0,EGP,77.78562503961575,0.03820610046386719,300,86.0,15,57
13,0,EGP,113.62112309142863,0.055452823638916016,400,129.0,19,73
14,0,EGP,139.57441738582781,0.08642578125,500,166.0,13,94
15,0,EGP,123.27497822476542,0.0963749885559082,600,152.0,10,78
16,0,EGP,134.636468518247,0.10139083862304688,700,172.0,14,85
17,0,EGP,164.28276105344742,0.12448787689208984,800,220.0,6,118
18,0,EGP,160.1796708343206,0.1636056900024414,900,219.0,4,124
19,0,EGP,158.41436785361458,0.16582298278808594,1000,230.0,4,112
20,0,AGP,46.6172251815949,14.078544855117798,100,47.0,37,46
21,0,AGP,70.4441776262664,40.867918252944946,200,73.0,40,62
22,0,AGP,75.56581104989297,41.25537109375,300,81.0,33,58
23,0,AGP,109.47901940277495,67.44698023796082,400,120.0,25,92
24,0,AGP,95.76271950536746,76.63809609413147,500,108.0,11,78
25,0,AGP,121.86196066510921,104.78616619110107,600,143.0,17,88
26,0,AGP,117.91487458198397,97.86471199989319,700,142.0,11,84
27,0,AGP,140.27566996597596,132.0012469291687,800,175.0,9,95
28,0,AGP,113.74244674940532,125.58926105499268,900,145.0,10,75
29,0,AGP,123.99212953458915,127.0515730381012,1000,171.0,7,92
30,0,Knapsack,8.891233274543477,2.4710421562194824,100,10.0,3,8
31,0,Knapsack,14.566969420937882,2.586061954498291,200,16.0,3,12
32,0,Knapsack,18.35558999886089,2.441257953643799,300,21.0,4,10
33,0,Knapsack,22.677715646600348,2.3818559646606445,400,26.0,3,18
34,0,Knapsack,32.555857863379416,2.6646668910980225,500,42.0,1,20
35,0,Knapsack,25.72412398583186,2.3121871948242188,600,33.0,1,10
36,0,Knapsack,33.81348331745824,2.2505691051483154,700,43.0,3,20
37,0,Knapsack,41.402316320557496,2.5556719303131104,800,59.0,1,23
38,0,Knapsack,52.83656483329343,2.7187108993530273,900,78.0,2,34
39,0,Knapsack,35.60771034698288,2.3068439960479736,1000,54.0,0,26
40,0,Random,2.695015087308405,0.004797935485839844,100,3.0,0,3
41,0,Random,9.869870049987092,0.0050427913665771484,200,11.0,1,7
42,0,Random,10.666154134463385,0.00528407096862793,300,12.0,2,9
43,0,Random,8.736824434085865,0.005636930465698242,400,11.0,1,4
44,0,Random,35.660274042876416,0.006119966506958008,500,43.0,5,23
45,0,Random,27.989798802165883,0.006797075271606445,600,38.0,2,14
46,0,Random,30.76202958352353,0.006585836410522461,700,39.0,0,21
47,0,Random,21.751108229131418,0.007746219635009766,800,31.0,0,14
48,0,Random,39.21554530584954,0.00795292854309082,900,58.0,2,30
49,0,Random,33.39365627689503,0.00798797607421875,1000,52.0,0,18
