,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,Optimal,20.205326517825235,0.6457149982452393,100,23.0,6,19
1,Optimal,20.732948440266085,0.4951972961425781,100,24.0,3,21
2,Optimal,24.01643960292386,0.5918416976928711,100,28.0,4,23
3,Optimal,24.351646559460498,0.4341127872467041,100,28.0,4,21
4,Optimal,17.194158515718712,0.37604284286499023,100,20.0,1,18
5,Optimal,19.771886328027144,0.5252501964569092,100,23.0,5,16
6,Optimal,20.838688181513007,0.625575065612793,100,23.0,1,18
7,Optimal,18.634058336989394,0.441417932510376,100,21.0,4,20
8,Optimal,19.021338302115158,0.6114530563354492,100,23.0,1,19
9,Optimal,20.62736763695327,0.5039548873901367,100,24.0,1,20
10,Optimal,21.195874936849357,0.4028627872467041,100,26.0,2,24
11,Optimal,27.969402594739314,0.6486139297485352,100,32.0,4,27
12,Optimal,19.40911682380973,0.7507920265197754,100,21.0,3,18
13,Optimal,14.169664501675417,0.49312615394592285,100,16.0,3,15
14,Optimal,20.228775106815686,0.5500869750976562,100,23.0,5,20
15,Optimal,22.86429464482893,0.4367640018463135,100,28.0,4,26
16,Optimal,17.02992762639006,0.46877312660217285,100,19.0,2,15
17,Optimal,19.211983880220515,0.49512290954589844,100,23.0,2,18
18,Optimal,18.373853642618485,0.5085680484771729,100,21.0,6,21
19,Optimal,18.222256558881902,0.47229814529418945,100,22.0,4,18
20,Optimal,21.41851764246892,0.6612062454223633,100,24.0,4,20
21,Optimal,20.41411302006087,0.4272341728210449,100,23.0,6,16
22,Optimal,20.049542986552815,0.4569089412689209,100,24.0,1,19
23,Optimal,20.752579303046613,0.4312398433685303,100,23.0,2,19
24,Optimal,20.359377014357634,0.41280484199523926,100,23.0,6,21
25,Optimal,28.095920409042247,0.5940611362457275,100,33.0,7,27
26,Optimal,25.59249682894861,0.5090301036834717,100,29.0,6,24
27,Optimal,23.14885878418686,0.5382320880889893,100,26.0,6,25
28,Optimal,17.308087663883256,0.39006996154785156,100,21.0,2,17
29,Optimal,25.22804492167095,0.7110528945922852,100,28.0,7,26
30,Optimal,20.243228116276963,0.3953580856323242,100,24.0,2,19
31,Optimal,15.101900484251496,0.3261871337890625,100,18.0,3,15
32,Optimal,20.034695738640096,0.49240803718566895,100,25.0,3,23
33,Optimal,25.52362550182545,0.6893219947814941,100,28.0,6,23
34,Optimal,22.276127039281036,0.6388130187988281,100,26.0,1,23
35,Optimal,18.934697529491068,0.44954991340637207,100,21.0,1,19
36,Optimal,20.290204405988547,0.6026687622070312,100,23.0,4,19
37,Optimal,24.37132568407132,0.4745609760284424,100,28.0,6,24
38,Optimal,27.414584685314377,0.4676361083984375,100,31.0,6,22
39,Optimal,21.15002088412288,0.32433104515075684,100,25.0,4,21
40,Optimal,24.16985053066287,0.378950834274292,100,28.0,3,24
41,Optimal,28.76005479484495,0.608687162399292,100,33.0,10,27
42,Optimal,21.85243005225709,0.5044300556182861,100,26.0,2,23
43,Optimal,18.866509644576137,0.4137389659881592,100,21.0,4,16
44,Optimal,24.009727344098025,0.5071301460266113,100,27.0,4,21
45,Optimal,19.05891975834682,0.5065608024597168,100,23.0,6,20
46,Optimal,14.98276263132555,0.3655111789703369,100,17.0,5,14
47,Optimal,22.256344189878764,0.522536039352417,100,27.0,2,22
48,Optimal,19.583472557850964,0.4413890838623047,100,23.0,2,19
49,Optimal,19.10017165575959,0.4864540100097656,100,21.0,7,20
50,Optimal,18.37053890693496,0.41979193687438965,100,21.0,2,17
51,Optimal,24.594263925300027,0.5310781002044678,100,28.0,3,22
52,Optimal,21.2552124103335,0.482161283493042,100,25.0,4,20
53,Optimal,21.402483652578123,0.5256359577178955,100,25.0,4,20
54,Optimal,22.741476597001434,0.5101180076599121,100,27.0,3,24
55,Optimal,17.86090994377842,0.4217557907104492,100,21.0,2,17
56,Optimal,18.92941789271401,0.420795202255249,100,21.0,5,19
57,Optimal,25.911658664439624,0.4857611656188965,100,30.0,4,25
58,Optimal,21.932366797466138,0.6105010509490967,100,26.0,2,22
59,Optimal,19.048292226404747,0.5186569690704346,100,23.0,3,17
60,Optimal,16.472428735413136,0.4446389675140381,100,19.0,4,16
61,Optimal,20.47285358270319,0.5009279251098633,100,24.0,2,14
62,Optimal,18.212538400726334,0.389085054397583,100,21.0,3,16
63,Optimal,18.34153161819448,0.44280028343200684,100,21.0,4,17
64,Optimal,20.960182923115568,0.4208402633666992,100,24.0,2,22
65,Optimal,21.60529080016984,0.5711729526519775,100,24.0,8,23
66,Optimal,24.09754775975415,0.5656759738922119,100,27.0,5,20
67,Optimal,16.623581549627335,0.43120908737182617,100,19.0,1,14
68,Optimal,26.828910211211312,0.4532148838043213,100,31.0,9,27
69,Optimal,27.130773023183252,0.6345150470733643,100,31.0,7,26
70,Optimal,22.434108321098105,0.62129807472229,100,25.0,8,22
71,Optimal,23.673442248006115,0.6053760051727295,100,27.0,6,22
72,Optimal,23.61771348102105,0.5566849708557129,100,26.0,6,20
73,Optimal,22.337410850652013,0.5379929542541504,100,28.0,4,22
74,Optimal,19.875237255708075,0.4755740165710449,100,22.0,4,20
75,Optimal,25.01131367920278,0.5186529159545898,100,29.0,7,25
76,Optimal,18.47456882533766,0.4984252452850342,100,21.0,8,18
77,Optimal,17.888889595912026,0.5188159942626953,100,20.0,7,20
78,Optimal,22.905198122148924,0.47481799125671387,100,26.0,4,22
79,Optimal,22.646922303815245,0.5296261310577393,100,25.0,6,22
80,Optimal,24.0273900442213,0.5757617950439453,100,29.0,5,24
81,Optimal,20.256853576351542,0.5347468852996826,100,23.0,6,20
82,Optimal,22.819941122819028,0.5388541221618652,100,26.0,3,17
83,Optimal,14.306693953616811,0.40287303924560547,100,17.0,4,14
84,Optimal,26.18013186508463,0.5865271091461182,100,29.0,6,26
85,Optimal,26.17883536234285,0.5221877098083496,100,30.0,4,23
86,Optimal,17.209902347091447,0.49103713035583496,100,20.0,2,18
87,Optimal,17.785505411211712,0.5274567604064941,100,21.0,6,20
88,Optimal,20.105091744923953,0.41115808486938477,100,24.0,4,18
89,Optimal,16.74393793668417,0.3250699043273926,100,19.0,3,17
90,Optimal,23.249306105197977,0.7014200687408447,100,29.0,3,23
91,Optimal,20.535021065647356,0.40136003494262695,100,23.0,6,17
92,Optimal,22.04600377524723,0.47678279876708984,100,26.0,4,21
93,Optimal,20.69918790958671,0.6153731346130371,100,24.0,6,20
94,Optimal,20.66545274931216,0.5050258636474609,100,23.0,3,18
95,Optimal,19.314738494073268,0.5700480937957764,100,23.0,2,21
96,Optimal,18.616081101484912,0.5403168201446533,100,22.0,1,18
97,Optimal,19.377316751979492,0.46918416023254395,100,22.0,5,19
98,Optimal,17.43314636509891,0.41722917556762695,100,19.0,2,15
99,Optimal,26.45428493114017,0.48801374435424805,100,29.0,8,27
100,Optimal,21.973050949098937,0.7999229431152344,200,33.0,0,26
101,Optimal,19.236712207622414,0.678239107131958,200,29.0,0,23
102,Optimal,22.473455606100703,1.1310601234436035,200,36.0,0,29
103,Optimal,23.433839270519016,0.7143139839172363,200,35.0,0,24
104,Optimal,18.76499275457486,0.5534689426422119,200,30.0,0,21
105,Optimal,24.505255991886838,0.7845940589904785,200,35.0,1,31
106,Optimal,20.967380095894626,0.8146812915802002,200,30.0,0,18
107,Optimal,20.302015892385043,0.7735681533813477,200,34.0,0,30
108,Optimal,20.333965188569117,0.8821377754211426,200,31.0,0,25
109,Optimal,20.08747688456147,0.8082880973815918,200,29.0,1,26
110,Optimal,21.651637906162087,0.6774399280548096,200,36.0,0,28
111,Optimal,27.21038534449609,0.794670820236206,200,40.0,0,32
112,Optimal,21.30092319276816,0.8936619758605957,200,33.0,0,26
113,Optimal,15.880129316029532,0.6068017482757568,200,25.0,1,16
114,Optimal,24.150602423165086,0.874650239944458,200,37.0,0,30
115,Optimal,21.39480178756864,0.6729462146759033,200,31.0,0,24
116,Optimal,18.973949141744686,0.5971188545227051,200,28.0,0,24
117,Optimal,20.32881896486826,0.7765860557556152,200,30.0,0,23
118,Optimal,19.485361547352284,0.6825716495513916,200,29.0,0,24
119,Optimal,17.98270956091709,0.8614959716796875,200,28.0,0,23
120,Optimal,24.26595910153408,0.7332310676574707,200,35.0,0,28
121,Optimal,20.607603434821165,0.8409290313720703,200,29.0,1,21
122,Optimal,20.218916716701443,0.8029356002807617,200,30.0,0,23
123,Optimal,19.87675828481172,0.6882102489471436,200,27.0,3,23
124,Optimal,20.057223721121687,0.664639949798584,200,32.0,0,25
125,Optimal,26.267118720244525,0.7922518253326416,200,45.0,0,39
126,Optimal,21.949546011379123,0.7680239677429199,200,31.0,2,25
127,Optimal,26.95772906693863,0.7849521636962891,200,40.0,0,32
128,Optimal,18.828744538644788,0.4944338798522949,200,27.0,0,21
129,Optimal,21.300945513588193,0.8116991519927979,200,32.0,0,29
130,Optimal,20.977893226808273,0.6942031383514404,200,33.0,0,26
131,Optimal,13.16973682758352,0.6294152736663818,200,22.0,0,20
132,Optimal,21.093567318403988,0.7507262229919434,200,31.0,0,26
133,Optimal,25.898831759906397,0.8364100456237793,200,39.0,1,31
134,Optimal,23.074552071092366,0.9396169185638428,200,33.0,0,29
135,Optimal,23.251383177901108,0.6907360553741455,200,33.0,0,25
136,Optimal,22.946524161296672,0.7766618728637695,200,32.0,1,21
137,Optimal,22.872394675823713,0.5716650485992432,200,33.0,1,25
138,Optimal,27.043883470017498,0.6726300716400146,200,38.0,0,33
139,Optimal,21.884771932366,0.7782070636749268,200,32.0,0,25
140,Optimal,19.53431082859028,1.0975589752197266,200,29.0,0,22
141,Optimal,24.4438565263668,0.7673230171203613,200,38.0,0,31
142,Optimal,22.303824826806434,0.7372748851776123,200,34.0,0,27
143,Optimal,17.20167351771925,0.7029240131378174,200,24.0,0,19
144,Optimal,22.411531475342475,0.7911899089813232,200,35.0,0,29
145,Optimal,19.401903780600453,0.6782829761505127,200,29.0,0,24
146,Optimal,18.199082571495897,0.6561379432678223,200,25.0,0,20
147,Optimal,23.031532007977464,0.7142701148986816,200,31.0,0,21
148,Optimal,19.24714268806609,0.61655592918396,200,28.0,0,26
149,Optimal,18.134965347617136,0.74288010597229,200,29.0,0,25
150,Optimal,22.098073169766465,0.622967004776001,200,33.0,0,23
151,Optimal,23.371325689796507,0.7213308811187744,200,33.0,1,26
152,Optimal,23.16994289451244,0.842371940612793,200,36.0,0,28
153,Optimal,18.892891447185036,0.7288012504577637,200,28.0,0,23
154,Optimal,24.501460384146267,0.6907649040222168,200,40.0,0,29
155,Optimal,17.454629143386054,0.6779971122741699,200,25.0,0,21
156,Optimal,19.22812550261107,0.5433409214019775,200,25.0,1,22
157,Optimal,27.085274158629336,0.8865981101989746,200,37.0,0,28
158,Optimal,21.72156499086808,0.9224722385406494,200,34.0,1,25
159,Optimal,20.9331329014482,0.678459882736206,200,33.0,0,30
160,Optimal,16.77309635539297,0.7966310977935791,200,27.0,0,19
161,Optimal,21.68390925622172,0.7630109786987305,200,32.0,1,24
162,Optimal,20.742569714883174,0.6795141696929932,200,29.0,0,22
163,Optimal,18.18241255444372,0.556786060333252,200,29.0,0,21
164,Optimal,21.398074437177883,0.7563810348510742,200,34.0,0,31
165,Optimal,21.999234295809394,0.7146439552307129,200,32.0,0,21
166,Optimal,24.617920042792743,0.769524335861206,200,38.0,2,25
167,Optimal,17.637061404835606,0.6341979503631592,200,29.0,0,18
168,Optimal,22.985069150619463,1.2846689224243164,200,34.0,2,32
169,Optimal,25.116774865222165,0.8303120136260986,200,38.0,0,31
170,Optimal,23.28129763416847,0.6699838638305664,200,35.0,0,30
171,Optimal,23.25211429004628,0.9090731143951416,200,39.0,0,31
172,Optimal,24.39133720453707,1.319685697555542,200,34.0,1,28
173,Optimal,21.26213303494022,0.6172001361846924,200,32.0,0,22
174,Optimal,18.54780688508482,0.5834639072418213,200,29.0,0,21
175,Optimal,23.52868802350869,1.5563948154449463,200,34.0,0,25
176,Optimal,23.305876966140847,0.5972919464111328,200,33.0,0,21
177,Optimal,18.483003560993378,0.5629041194915771,200,27.0,0,22
178,Optimal,24.232264131414045,0.6743369102478027,200,35.0,1,27
179,Optimal,24.29597670561935,0.8049800395965576,200,33.0,1,22
180,Optimal,22.24847458026521,0.9232640266418457,200,32.0,0,23
181,Optimal,21.713977510235406,0.8730480670928955,200,29.0,1,25
182,Optimal,21.582237916753,0.7226698398590088,200,31.0,0,20
183,Optimal,16.259070839072464,0.578230619430542,200,27.0,0,22
184,Optimal,25.44685394504493,1.0597999095916748,200,38.0,0,26
185,Optimal,26.017166994818638,1.2911241054534912,200,39.0,1,27
186,Optimal,20.440185448257868,0.689967155456543,200,32.0,0,26
187,Optimal,21.484444218256076,0.6790549755096436,200,33.0,0,26
188,Optimal,20.75758840562017,0.6627702713012695,200,33.0,0,27
189,Optimal,14.646230537919234,0.47395992279052734,200,23.0,1,15
190,Optimal,25.05390630958566,1.06125807762146,200,42.0,0,32
191,Optimal,23.957404901900176,0.6086769104003906,200,33.0,1,24
192,Optimal,25.90581421447145,0.8645250797271729,200,39.0,0,30
193,Optimal,20.851577292216977,0.8257598876953125,200,34.0,0,24
194,Optimal,19.551552013254593,0.6339888572692871,200,28.0,1,23
195,Optimal,22.159608566061223,0.7338371276855469,200,34.0,0,24
196,Optimal,17.66043089751739,0.6031930446624756,200,26.0,0,21
197,Optimal,21.572491457500703,0.6517739295959473,200,30.0,0,22
198,Optimal,16.989012438457678,0.6798639297485352,200,27.0,0,20
199,Optimal,25.639530602658557,0.8033199310302734,200,37.0,2,27
200,Optimal,20.42936394016211,0.7240509986877441,300,38.0,0,34
201,Optimal,17.90241829362144,1.4271700382232666,300,32.0,0,22
202,Optimal,20.806224220744376,0.9789056777954102,300,40.0,0,33
203,Optimal,19.762871932457305,0.8391540050506592,300,35.0,0,30
204,Optimal,17.367455663074544,0.9035868644714355,300,32.0,0,22
205,Optimal,22.739446727606786,0.7546522617340088,300,39.0,0,32
206,Optimal,20.923900847685474,0.7660598754882812,300,37.0,0,33
207,Optimal,20.07458833465194,0.7872331142425537,300,39.0,0,31
208,Optimal,22.033520154969946,1.315077781677246,300,39.0,0,32
209,Optimal,18.818874955027407,0.8794028759002686,300,34.0,0,29
210,Optimal,23.314566201342526,0.7906107902526855,300,44.0,0,34
211,Optimal,26.035144838571004,1.2076830863952637,300,46.0,0,39
212,Optimal,22.374917596871345,1.0341219902038574,300,40.0,0,32
213,Optimal,15.305363987934765,0.6815297603607178,300,28.0,0,26
214,Optimal,23.535207199201768,0.8470330238342285,300,46.0,0,37
215,Optimal,23.53150412375345,0.7153306007385254,300,43.0,0,35
216,Optimal,21.23214460787352,0.948091983795166,300,37.0,0,30
217,Optimal,20.316687667392014,0.7765190601348877,300,39.0,0,34
218,Optimal,19.483566637511064,0.7359299659729004,300,35.0,0,26
219,Optimal,20.104852840472866,0.9365301132202148,300,39.0,0,31
220,Optimal,22.70301349388395,0.7563557624816895,300,42.0,0,32
221,Optimal,21.845875493115717,0.8654689788818359,300,39.0,0,26
222,Optimal,23.49877791199839,0.9294252395629883,300,43.0,0,32
223,Optimal,23.665503314751128,0.9939708709716797,300,45.0,0,30
224,Optimal,20.649029309730935,0.9822638034820557,300,41.0,0,34
225,Optimal,28.97038976420837,1.0404942035675049,300,53.0,0,39
226,Optimal,26.53319397121358,1.0115370750427246,300,46.0,0,36
227,Optimal,24.01073420138474,1.2295620441436768,300,44.0,0,37
228,Optimal,20.798102026111366,0.769982099533081,300,37.0,0,30
229,Optimal,23.013101300205225,0.7476651668548584,300,42.0,0,33
230,Optimal,20.86097001521275,0.7556800842285156,300,39.0,0,31
231,Optimal,14.415163684098946,0.5860519409179688,300,27.0,0,22
232,Optimal,20.84461768761773,0.9055538177490234,300,37.0,0,34
233,Optimal,25.190119743731408,0.9523539543151855,300,45.0,0,36
234,Optimal,20.982400494175995,0.8375411033630371,300,39.0,0,36
235,Optimal,21.892356367076527,1.0321638584136963,300,38.0,0,32
236,Optimal,22.791279487341534,1.0330660343170166,300,38.0,0,30
237,Optimal,21.208972872846683,1.2842891216278076,300,39.0,0,32
238,Optimal,26.217045079980956,0.8779029846191406,300,47.0,0,37
239,Optimal,20.608152951566737,1.069843053817749,300,37.0,0,30
240,Optimal,22.475109996564683,0.9303901195526123,300,43.0,0,36
241,Optimal,21.528473160309098,0.7650558948516846,300,40.0,0,35
242,Optimal,24.45736237825631,1.3046770095825195,300,45.0,0,38
243,Optimal,17.99925759222726,0.8995578289031982,300,33.0,0,29
244,Optimal,20.978637676405068,0.8687798976898193,300,37.0,0,28
