,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,served_model_name,served_accuracy,QoS,algorithm
0,0,0.6900994164060156,0.8152503093933186,0,0.7490906715393066,1,207,207,DenseNet,0.755,1.0,Optimal
1,1,0.9602571755729531,0.07915827478935802,1,0.6101036071777344,1,721,721,DenseNet,0.755,0.7646350791164294,Optimal
2,2,0.9957099990428356,0.22629186629073877,2,0.6193063259124756,1,123,123,DenseNet,0.755,0.781391385573148,Optimal
3,3,0.8579464512978547,0.13626591082446463,3,0.5887351036071777,1,408,408,DenseNet,0.755,0.8354094761553943,Optimal
4,4,0.9137107743146797,1.5496422660578482,4,0.581528902053833,1,444,444,DenseNet,0.755,0.9206446128426602,Optimal
5,5,0.9867721282851748,0.8518663352214098,5,0.5923540592193604,1,157,157,DenseNet,0.755,0.8841139358574126,Optimal
6,6,0.961422557792902,0.004470272459750224,6,0.6653294563293457,1,871,871,DenseNet,0.755,0.7315739251361502,Optimal
7,7,0.8018091198166097,0.4141749430860221,7,0.5626330375671387,1,919,919,DenseNet,0.755,0.939480916471416,Optimal
8,8,0.8472441125663186,0.429579607921738,8,0.5996637344360352,1,862,862,DenseNet,0.755,0.9113569120882664,Optimal
9,9,0.9976605441715192,0.15266354441894778,9,0.5709741115570068,1,803,609,DenseNet,0.755,0.7740920861297256,Optimal
10,10,0.810539294454841,0.17058073345609126,10,0.6218137741088867,1,504,504,DenseNet,0.755,0.8594220926093806,Optimal
11,11,0.8019900452266098,0.2593385641931244,11,0.6907806396484375,1,604,604,DenseNet,0.755,0.8686444585228668,Optimal
12,12,0.5494799093800811,0.14614188362525307,12,0.6172592639923096,1,583,682,DenseNet,0.755,0.8822206549082359,Optimal
13,13,0.9735201863475256,0.0580385577503506,13,0.5926764011383057,1,641,641,DenseNet,0.755,0.7570804459792484,Optimal
14,14,0.732871377412146,0.05687692310401737,14,0.6034145355224609,1,441,441,DenseNet,0.755,0.863365596895389,Optimal
15,15,0.9973761184978833,0.21328646225088188,15,0.616694450378418,1,853,853,DenseNet,0.755,0.7779599437191743,Optimal
16,16,0.7127223323111429,1.552480658791608,16,1.1159484386444092,1,354,354,DenseNet,0.755,1.0,Optimal
17,17,0.9806074625491156,0.08597293932781673,17,1.0538547039031982,1,52,52,DenseNet,0.755,0.6452258275815969,Optimal
18,18,0.7511411465786264,0.10258954694774886,18,1.0383927822113037,1,634,634,DenseNet,0.755,0.7660491911841113,Optimal
19,19,0.9840072140260441,0.7826389852595592,19,0.8613712787628174,1,39,39,DenseNet,0.755,0.8658133196111635,Optimal
20,20,0.913849127994942,0.10283406131678025,20,0.6010081768035889,1,435,876,DenseNet,0.755,0.7960319071308268,Optimal
21,21,0.7855206333737548,0.2944339037879746,21,0.5760319232940674,1,282,282,DenseNet,0.755,0.9143401784365994,Optimal
22,22,0.9260765611791545,0.2865469642123273,22,0.604480504989624,1,156,156,DenseNet,0.755,0.8349783342160986,Optimal
23,23,0.7208491723970042,0.017031501404329547,23,0.6265757083892822,1,18,18,DenseNet,0.755,0.8476139482537618,Optimal
24,24,0.8744273384909931,0.1294197183346879,24,0.66713547706604,1,676,676,DenseNet,0.755,0.8058573910716654,Optimal
25,25,0.8526829533351726,0.4077232973558972,25,0.6313450336456299,1,469,469,DenseNet,0.755,0.8952530892599805,Optimal
26,26,0.9897150768952587,0.04704941405686533,26,0.6207575798034668,1,327,116,DenseNet,0.755,0.7392154201157203,Optimal
27,27,0.8126664951408331,0.4721517926419645,27,0.6259739398956299,1,101,386,DenseNet,0.755,0.9327112156161671,Optimal
28,28,0.8072981975395532,0.007495178487686446,28,0.6108064651489258,1,960,928,DenseNet,0.755,0.8230230795649136,Optimal
29,29,0.9547269482865623,0.02037515267633299,29,0.6333434581756592,1,455,455,DenseNet,0.755,0.7468944494818872,Optimal
30,30,0.6199264487043543,0.39966216606297117,30,0.6187953948974609,1,538,884,DenseNet,0.755,0.9452166927913775,Optimal
31,31,0.9946729820706182,0.17993831522944762,31,0.61649489402771,1,340,340,DenseNet,0.755,0.7710243642651253,Optimal
32,32,0.9703209568070299,0.7476238116783118,32,0.6012752056121826,1,485,485,DenseNet,0.755,0.8923395215964851,Optimal
33,33,0.7721077407068663,0.27873281300681835,33,0.6159307956695557,1,312,311,DenseNet,0.755,0.9071466339808825,Optimal
34,34,0.9507734343662643,0.43984487331325484,34,0.6023271083831787,1,827,827,DenseNet,0.755,0.8614927240493869,Optimal
35,35,0.7567250004197807,0.04308173020996439,35,0.6081397533416748,1,889,889,DenseNet,0.755,0.8578729940071821,Optimal
36,36,0.8719716554855363,0.2074221274121375,36,0.6041395664215088,1,888,873,DenseNet,0.755,0.8423348125048891,Optimal
37,37,0.9453287003167604,0.11888857402718413,37,0.5742506980895996,1,207,207,DenseNet,0.755,0.7909951188260159,Optimal
38,38,0.9776846730918778,0.4593785395701607,38,0.6879260540008545,1,184,184,DenseNet,0.755,0.8315207848463877,Optimal
39,39,0.9116126154482961,1.0677277405777903,39,0.5969820022583008,1,449,449,DenseNet,0.755,0.921693692275852,Optimal
40,40,0.9539195768298949,0.6309049850234106,40,0.6606183052062988,1,876,876,DenseNet,0.755,0.8931118815393304,Optimal
41,41,0.9849204840255755,0.22250242588308694,41,0.6403684616088867,1,604,604,DenseNet,0.755,0.7805732490557623,Optimal
42,42,0.8699593315701574,0.24364122073190364,42,0.6112673282623291,1,180,180,DenseNet,0.755,0.850613807332315,Optimal
43,43,0.8486509116475296,1.2530845714894998,43,0.5877387523651123,1,904,70,DenseNet,0.755,0.9531745441762352,Optimal
44,44,0.5409469052101197,1.0750664214290857,44,0.5763092041015625,1,80,80,DenseNet,0.755,1.0,Optimal
45,45,0.9287590009719715,0.050432722711794394,45,0.6436879634857178,1,198,197,DenseNet,0.755,0.7648066893205334,Optimal
46,46,0.8708794613088173,0.07480880224326186,46,0.5985231399536133,1,576,576,DenseNet,0.755,0.8111316849180035,Optimal
47,47,0.8172780590454689,2.0,47,0.6181390285491943,1,316,316,DenseNet,0.755,0.9688609704772655,Optimal
48,48,0.8465969677704003,0.14554535772825355,48,0.5916962623596191,1,720,720,DenseNet,0.755,0.8426637899569585,Optimal
49,49,0.8909765948670484,0.23614987005359128,49,0.6942322254180908,1,694,694,DenseNet,0.755,0.8174911137253509,Optimal
50,50,0.7752343524355472,1.0372308610817698,50,0.589658260345459,1,510,510,DenseNet,0.755,0.9898828237822264,Optimal
51,51,0.4071914688878069,1.0289961431761627,51,0.6740872859954834,1,234,234,DenseNet,0.755,1.0,Optimal
52,52,0.8854830557255975,0.5004526961027927,52,0.6368257999420166,1,892,426,DenseNet,0.755,0.9006651961773953,Optimal
53,53,0.8966963349272303,1.461038363527908,53,0.6640806198120117,1,820,820,DenseNet,0.755,0.9291518325363848,Optimal
54,54,0.8899072788793432,0.0817861432732141,54,0.5960409641265869,1,743,781,DenseNet,0.755,0.8039826553469852,Optimal
55,55,0.8818023662015626,0.6774683708437009,55,0.6163244247436523,1,775,775,DenseNet,0.755,0.9365988168992188,Optimal
56,56,0.963619869205181,0.17962017976849992,56,0.624744176864624,1,993,993,DenseNet,0.755,0.7844090661233785,Optimal
57,57,0.811323174145177,0.2329854072785833,57,0.6555233001708984,1,49,49,DenseNet,0.755,0.8662039397043327,Optimal
58,58,0.8121573578225328,0.23971363391378808,58,0.6117165088653564,1,819,862,DenseNet,0.755,0.8784206023508415,Optimal
59,59,0.9498313075680895,0.23420728910980515,59,0.6729216575622559,1,820,820,DenseNet,0.755,0.7929057541028426,Optimal
60,60,0.9283460843519309,0.4956327894401953,60,0.6507937908172607,1,470,747,DenseNet,0.755,0.8745367074797682,Optimal
61,61,0.8688407715540415,0.12536298904435164,61,0.6428604125976562,1,348,348,DenseNet,0.755,0.8137052583346531,Optimal
62,62,0.9817550389307362,0.0016440459723198494,62,0.6159138679504395,1,661,661,DenseNet,0.755,0.733055025040102,Optimal
63,63,0.9039959512316503,0.3790138653213038,63,0.6614973545074463,1,160,160,DenseNet,0.755,0.8548811520876392,Optimal
64,64,0.7920604239978811,0.4682243961533372,64,0.6036219596862793,1,347,347,DenseNet,0.755,0.9476203971178239,Optimal
65,65,0.9721240772013571,0.3963354184851927,65,0.7004635334014893,1,389,389,DenseNet,0.755,0.8154059326702474,Optimal
66,66,0.8353509655357766,0.006447067667618548,66,0.659027099609375,1,37,36,DenseNet,0.755,0.7966795092466726,Optimal
67,67,0.7957760431064819,0.18161771390214862,67,0.6547472476959229,1,507,487,DenseNet,0.755,0.8613295949983155,Optimal
68,68,0.8928980969720022,0.23693358020826769,68,0.6594130992889404,1,900,900,DenseNet,0.755,0.8254310717438307,Optimal
69,69,0.7414566338311088,0.18730095901368138,69,0.7110207080841064,1,746,746,DenseNet,0.755,0.8690700627323937,Optimal
70,70,0.5598662142698596,0.6357778161591874,70,0.6440606117248535,1,389,389,DenseNet,0.755,0.9979293011085835,Optimal
71,71,0.8459508760913849,0.513188048646393,71,0.7522017955780029,1,949,949,DenseNet,0.755,0.8947711252214051,Optimal
72,72,0.7182621847374914,0.8162032184646257,72,0.6423580646514893,1,401,507,DenseNet,0.755,1.0,Optimal
73,73,0.8588860947875578,0.3680908799699916,73,0.5995118618011475,1,453,894,DenseNet,0.755,0.890201707148432,Optimal
74,74,0.9583953456807749,0.5246720353260859,74,0.6409456729888916,1,6,6,DenseNet,0.755,0.8692339177439111,Optimal
75,75,0.9672269436877133,0.17625355311394664,75,0.6412146091461182,1,82,81,DenseNet,0.755,0.7776462641481005,Optimal
76,76,0.9513105130531331,0.04116816633018338,76,0.6355667114257812,1,1,1,DenseNet,0.755,0.753245107199534,Optimal
77,77,0.9135019498186213,0.4954904981842875,77,0.7255139350891113,1,46,46,DenseNet,0.755,0.8632431658644834,Optimal
78,78,0.8764726613113856,0.24215512608928885,78,0.788740873336792,1,144,144,DenseNet,0.755,0.8026172325324314,Optimal
79,79,0.9309857759889465,0.003170341392647118,79,0.8277912139892578,1,877,877,DenseNet,0.755,0.705851893856374,Optimal
80,80,0.842428872829095,0.131986202735908,80,0.7703959941864014,1,202,184,DenseNet,0.755,0.7966831157228291,Optimal
