,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,client_id,served_model_name,served_accuracy,QoS,algorithm,mc_run
0,0,0.8111648410333421,0.1275013009289641,100,0.38436412811279297,3,855,737,rpi4-1,MobileNet,0.7206896551724138,0.8905467002735786,Optimal,0
1,1,0.9903612207400269,0.3666050637574016,101,0.2444167137145996,3,444,444,rpi4-1,MobileNet,0.7206896551724138,0.8651642172161935,Optimal,0
2,2,0.9867184476084225,0.059383470434582,102,0.23113346099853516,3,332,332,rpi4-1,MobileNet,0.7206896551724138,0.8240481061410073,Optimal,0
3,3,0.9261852577188757,0.15235155801301137,103,0.23088335990905762,3,253,253,rpi4-1,MobileNet,0.7206896551724138,0.8776192482527574,Optimal,0
4,4,0.9833408829169429,0.06343228809085372,104,0.2340531349182129,3,799,471,rpi4-1,MobileNet,0.7206896551724138,0.8260191744208957,Optimal,0
5,5,0.9403317618813127,0.19635058542633374,105,0.23324847221374512,3,127,127,rpi4-1,MobileNet,0.7206896551724138,0.8809544749486977,Optimal,0
6,6,0.973956151429426,0.09702900281043011,106,0.22217583656311035,3,697,697,rpi4-1,MobileNet,0.7206896551724138,0.8420800434333238,Optimal,0
7,7,0.8570591518167605,0.03724924625011431,107,0.23316168785095215,3,350,350,rpi4-1,MobileNet,0.7206896551724138,0.8828371412776173,Optimal,0
8,8,0.9559632803471751,0.48231018779271007,108,0.26705479621887207,3,674,695,rpi4-1,MobileNet,0.7206896551724138,0.8823631874126193,Optimal,0
9,9,0.9615264464787694,0.3076212605949851,109,0.23560214042663574,3,102,102,rpi4-1,MobileNet,0.7206896551724138,0.8795816043468222,Optimal,0
10,10,0.9897999279507794,0.1375070460421598,110,0.21134686470031738,3,185,243,rpi4-1,MobileNet,0.7206896551724138,0.8469849089462778,Optimal,0
11,11,0.977302485586401,0.040142556339862905,111,0.23377370834350586,3,979,979,rpi4-1,MobileNet,0.7206896551724138,0.8232857967920957,Optimal,0
12,12,0.8880244029723562,0.004654477450463923,112,0.2624228000640869,3,951,951,rpi4-1,MobileNet,0.7206896551724138,0.851890545446623,Optimal,0
13,13,0.9224523915766534,0.41176027424346334,113,0.20562958717346191,3,219,836,rpi4-1,MobileNet,0.7206896551724138,0.8991186317978802,Optimal,0
14,14,0.6528023133802003,0.2577624992137337,114,0.3020486831665039,3,352,352,rpi4-1,MobileNet,0.7206896551724138,0.9889284540118075,Optimal,0
15,15,0.8441881755170101,0.3148599661786748,115,0.2912120819091797,3,257,228,rpi4-1,MobileNet,0.7206896551724138,0.9382507398277018,Optimal,0
16,16,0.864637982860819,0.005258654639976372,116,0.22575044631958008,3,84,90,rpi4-1,MobileNet,0.7206896551724138,0.8729028882358965,Optimal,0
17,17,0.8119499879110696,0.10755075721502472,117,0.22522473335266113,3,973,329,rpi4-1,MobileNet,0.7206896551724138,0.924951339596263,Optimal,0
18,18,0.7320614490976602,0.39975467922045155,118,0.3263731002807617,3,990,990,rpi4-1,MobileNet,0.7206896551724138,0.9943141030373768,Optimal,0
19,19,0.9499092067668377,0.016931837288911268,119,0.25469064712524414,3,302,306,rpi4-1,MobileNet,0.7206896551724138,0.8259505217437049,Optimal,0
20,20,0.9135271520247873,0.003959677994383823,120,0.3199620246887207,3,201,201,rpi4-1,MobileNet,0.7206896551724138,0.824580664900229,Optimal,0
21,21,0.9683652677299428,0.042347807111991105,121,0.31881260871887207,3,39,48,rpi4-1,MobileNet,0.7206896551724138,0.8070459933195153,Optimal,0
22,22,0.8082901221934773,0.6467193298076028,122,0.2849428653717041,3,292,292,rpi4-1,MobileNet,0.7206896551724138,0.9561997664894683,Optimal,0
23,23,0.9507288297753019,0.23651352172144477,123,0.2477092742919922,3,688,688,rpi4-1,MobileNet,0.7206896551724138,0.8821814745559191,Optimal,0
24,24,0.9448171098788161,0.13677715336204474,124,0.2664945125579834,3,565,565,rpi4-1,MobileNet,0.7206896551724138,0.8555069328478142,Optimal,0
25,25,0.9145167220493008,0.21087274339008003,125,0.2406020164489746,3,727,727,rpi4-1,MobileNet,0.7206896551724138,0.8956541482968329,Optimal,0
26,26,0.9670499011766732,0.06672153760169464,126,0.2400343418121338,3,520,520,rpi4-1,MobileNet,0.7206896551724138,0.8334916759452604,Optimal,0
