,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,client_id,served_model_name,served_accuracy,QoS,algorithm,mc_run
0,0,1.0,0.0,0,1.3160643577575684,3,16,16,True,True,rpi4-1,MobileNet,0.74,0.5409839105606079,Optimal,0
1,1,1.0,0.0,1,0.435575008392334,3,169,169,True,True,rpi4-1,MobileNet,0.74,0.7611062479019165,Optimal,0
2,2,1.0,0.0,2,0.2436528205871582,3,203,203,True,True,rpi4-1,MobileNet,0.74,0.8090867948532104,Optimal,0
3,3,1.0,0.0,3,0.20624136924743652,3,301,301,True,True,rpi4-1,MobileNet,0.74,0.8184396576881409,Optimal,0
4,4,1.0,0.0,4,0.22178363800048828,3,96,96,True,True,rpi4-1,MobileNet,0.74,0.8145540904998779,Optimal,0
5,5,1.0,0.0,5,0.25377821922302246,3,221,221,True,True,rpi4-1,MobileNet,0.74,0.8065554451942444,Optimal,0
6,6,1.0,0.0,6,0.24079561233520508,3,177,177,True,True,rpi4-1,MobileNet,0.74,0.8098010969161987,Optimal,0
7,7,1.0,0.0,7,0.2087409496307373,3,331,331,True,True,rpi4-1,MobileNet,0.74,0.8178147625923157,Optimal,0
8,8,1.0,0.0,8,0.2197098731994629,3,140,142,True,True,rpi4-1,MobileNet,0.74,0.8150725317001343,Optimal,0
9,9,1.0,0.0,9,0.2143688201904297,3,113,113,True,True,rpi4-1,MobileNet,0.74,0.8164077949523926,Optimal,0
10,10,1.0,0.0,10,0.23181629180908203,3,119,119,True,True,rpi4-1,MobileNet,0.74,0.8120459270477295,Optimal,0
11,11,1.0,0.0,11,0.22021222114562988,3,202,226,True,True,rpi4-1,MobileNet,0.74,0.8149469447135925,Optimal,0
12,12,1.0,0.0,12,0.21990203857421875,3,243,179,True,True,rpi4-1,MobileNet,0.74,0.8150244903564453,Optimal,0
13,13,1.0,0.0,13,0.2171463966369629,3,263,263,True,True,rpi4-1,MobileNet,0.74,0.8157134008407593,Optimal,0
14,14,1.0,0.0,14,0.21815037727355957,3,268,268,True,True,rpi4-1,MobileNet,0.74,0.8154624056816101,Optimal,0
15,15,1.0,0.0,15,0.2096850872039795,3,321,321,True,True,rpi4-1,MobileNet,0.74,0.8175787281990051,Optimal,0
16,16,1.0,0.0,16,0.22261953353881836,3,218,213,True,True,rpi4-1,MobileNet,0.74,0.8143451166152954,Optimal,0
17,17,1.0,0.0,17,0.27067136764526367,3,12,12,True,True,rpi4-1,MobileNet,0.74,0.8023321580886841,Optimal,0
18,18,1.0,0.0,18,0.29590678215026855,3,51,51,True,True,rpi4-1,MobileNet,0.74,0.7960233044624329,Optimal,0
19,19,1.0,0.0,19,0.21918702125549316,3,252,252,True,True,rpi4-1,MobileNet,0.74,0.8152032446861267,Optimal,0
20,20,1.0,0.0,20,0.21049785614013672,3,131,131,True,True,rpi4-1,MobileNet,0.74,0.8173755359649658,Optimal,0
21,21,1.0,0.0,21,0.23670697212219238,3,153,204,True,True,rpi4-1,MobileNet,0.74,0.8108232569694519,Optimal,0
22,22,1.0,0.0,22,0.2535216808319092,3,57,57,True,True,rpi4-1,MobileNet,0.74,0.8066195797920227,Optimal,0
23,23,1.0,0.0,23,0.21061205863952637,3,261,261,True,True,rpi4-1,MobileNet,0.74,0.8173469853401184,Optimal,0
24,24,1.0,0.0,24,0.21075773239135742,3,298,298,True,True,rpi4-1,MobileNet,0.74,0.8173105669021606,Optimal,0
25,25,1.0,0.0,25,0.20466303825378418,3,39,39,True,True,rpi4-1,MobileNet,0.74,0.818834240436554,Optimal,0
26,26,1.0,0.0,26,0.2240595817565918,3,331,331,True,True,rpi4-1,MobileNet,0.74,0.813985104560852,Optimal,0
27,27,1.0,0.0,27,0.24902129173278809,3,69,69,True,True,rpi4-1,MobileNet,0.74,0.807744677066803,Optimal,0
28,28,1.0,0.0,28,0.20307016372680664,3,125,316,True,True,rpi4-1,MobileNet,0.74,0.8192324590682983,Optimal,0
29,29,1.0,0.0,29,0.22095108032226562,3,112,112,True,True,rpi4-1,MobileNet,0.74,0.8147622299194336,Optimal,0
30,30,1.0,0.0,30,0.22111010551452637,3,211,211,True,True,rpi4-1,MobileNet,0.74,0.8147224736213684,Optimal,0
31,31,1.0,0.0,31,0.2168135643005371,3,36,58,True,True,rpi4-1,MobileNet,0.74,0.8157966089248657,Optimal,0
32,32,1.0,0.0,32,0.2413804531097412,3,75,75,True,True,rpi4-1,MobileNet,0.74,0.8096548867225647,Optimal,0
33,33,1.0,0.0,33,0.2430276870727539,3,94,94,True,True,rpi4-1,MobileNet,0.74,0.8092430782318115,Optimal,0
34,34,1.0,0.0,34,0.2639932632446289,3,202,202,True,True,rpi4-1,MobileNet,0.74,0.8040016841888428,Optimal,0
35,35,1.0,0.0,35,0.366771936416626,3,183,197,True,True,rpi4-1,MobileNet,0.74,0.7783070158958435,Optimal,0
36,36,1.0,0.0,36,0.23920845985412598,3,30,50,True,True,rpi4-1,MobileNet,0.74,0.8101978850364685,Optimal,0
37,37,1.0,0.0,37,0.21502184867858887,3,489,9,True,True,rpi4-1,MobileNet,0.74,0.8162445378303528,Optimal,0
38,38,1.0,0.0,38,0.22786355018615723,3,69,69,True,True,rpi4-1,MobileNet,0.74,0.8130341124534607,Optimal,0
39,39,1.0,0.0,39,0.23246455192565918,3,192,192,True,True,rpi4-1,MobileNet,0.74,0.8118838620185852,Optimal,0
40,40,1.0,0.0,40,0.2593705654144287,3,188,188,True,True,rpi4-1,MobileNet,0.74,0.8051573586463928,Optimal,0
41,41,1.0,0.0,41,0.2765228748321533,3,74,74,True,True,rpi4-1,MobileNet,0.74,0.8008692812919617,Optimal,0
42,42,1.0,0.0,42,0.23910117149353027,3,313,315,True,True,rpi4-1,MobileNet,0.74,0.8102247071266174,Optimal,0
43,43,1.0,0.0,43,0.23369884490966797,3,37,36,True,True,rpi4-1,MobileNet,0.74,0.811575288772583,Optimal,0
44,44,1.0,0.0,44,0.24373793601989746,3,301,304,True,True,rpi4-1,MobileNet,0.74,0.8090655159950256,Optimal,0
45,45,1.0,0.0,45,0.22744989395141602,3,61,61,True,True,rpi4-1,MobileNet,0.74,0.813137526512146,Optimal,0
46,46,1.0,0.0,46,0.23515677452087402,3,326,326,True,True,rpi4-1,MobileNet,0.74,0.8112108063697815,Optimal,0
47,47,1.0,0.0,47,0.21218037605285645,3,333,333,True,True,rpi4-1,MobileNet,0.74,0.8169549059867859,Optimal,0
48,48,1.0,0.0,48,0.19599246978759766,3,0,0,True,True,rpi4-1,MobileNet,0.74,0.8210018825531006,Optimal,0
49,49,1.0,0.0,49,0.2498767375946045,3,327,327,True,True,rpi4-1,MobileNet,0.74,0.8075308156013489,Optimal,0
50,50,1.0,0.0,50,0.2631542682647705,3,315,315,True,True,rpi4-1,MobileNet,0.74,0.8042114329338074,Optimal,0
51,51,1.0,0.0,51,0.4627041816711426,3,75,75,True,True,rpi4-1,MobileNet,0.74,0.7543239545822144,Optimal,0
52,52,1.0,0.0,52,0.21721458435058594,3,15,15,True,True,rpi4-1,MobileNet,0.74,0.8156963539123535,Optimal,0
