,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,client_id,served_model_name,served_accuracy,post-QoS,algorithm,QoS,mc_run
0,0,1.0,0.0,0,0.38602447509765625,3,331,331,True,True,rpi4-1,MobileNet,0.5,0.5569877624511719,Optimal,0.8098070827125,0
1,1,1.0,0.0,1,0.2726590633392334,3,209,209,True,True,rpi4-1,MobileNet,0.5,0.6136704683303833,Optimal,0.8098070827125,0
2,2,1.0,0.0,2,0.21843194961547852,3,291,291,True,True,rpi4-1,MobileNet,0.5,0.6407840251922607,Optimal,0.8098070827125,0
3,3,1.0,0.0,3,0.2687489986419678,3,8,8,True,True,rpi4-1,MobileNet,0.5,0.6156255006790161,Optimal,0.8098070827125,0
4,4,1.0,0.0,4,0.33008790016174316,3,185,185,True,True,rpi4-1,MobileNet,0.5,0.5849560499191284,Optimal,0.8098070827125,0
5,5,1.0,0.0,5,0.3271043300628662,3,127,134,True,True,rpi4-1,MobileNet,0.5,0.5864478349685669,Optimal,0.8098070827125,0
6,6,1.0,0.0,6,0.3255736827850342,3,310,310,True,True,rpi4-1,MobileNet,0.5,0.5872131586074829,Optimal,0.8098070827125,0
7,7,1.0,0.0,7,0.2895817756652832,3,153,153,True,True,rpi4-1,MobileNet,0.5,0.6052091121673584,Optimal,0.8098070827125,0
8,8,1.0,0.0,8,0.2865612506866455,3,234,234,True,True,rpi4-1,MobileNet,0.5,0.6067193746566772,Optimal,0.8098070827125,0
9,9,1.0,0.0,9,0.21145892143249512,3,816,87,True,True,rpi4-1,MobileNet,0.5,0.6442705392837524,Optimal,0.8098070827125,0
10,10,1.0,0.5,20,0.6946790218353271,3,570,691,True,False,jetson2,MobileNet,0.5,0.6526604890823364,Optimal,0.8098070827125,0
11,11,1.0,0.5,21,0.26259589195251465,3,427,756,True,False,jetson2,MobileNet,0.5,0.75,Optimal,0.8098070827125,0
12,12,1.0,0.5,22,0.1732478141784668,3,951,951,True,False,jetson2,MobileNet,0.5,0.75,Optimal,0.8098070827125,0
13,13,1.0,0.5,23,0.1933455467224121,3,702,842,True,False,jetson2,MobileNet,0.5,0.75,Optimal,0.8098070827125,0
14,14,1.0,0.5,24,0.1916215419769287,3,943,949,True,False,jetson2,MobileNet,0.5,0.75,Optimal,0.8098070827125,0
15,15,1.0,0.5,25,0.16917753219604492,3,927,927,True,False,jetson2,MobileNet,0.5,0.75,Optimal,0.8098070827125,0
16,16,1.0,0.5,26,0.19229435920715332,3,474,834,True,False,jetson2,MobileNet,0.5,0.75,Optimal,0.8098070827125,0
17,17,1.0,0.5,27,0.17376255989074707,3,532,765,True,False,jetson2,MobileNet,0.5,0.75,Optimal,0.8098070827125,0
18,18,1.0,0.5,28,0.2117142677307129,3,781,752,True,False,jetson2,MobileNet,0.5,0.75,Optimal,0.8098070827125,0
19,19,1.0,0.5,29,0.1275007724761963,3,531,826,True,False,jetson2,MobileNet,0.5,0.75,Optimal,0.8098070827125,0
20,20,0.5,0.0,10,0.6316211223602295,0,146,357,False,True,jetson,AlexNet,0.3,0.5841894388198853,Optimal,0.959606171503125,0
21,21,0.5,0.0,11,0.2454831600189209,0,216,341,False,True,jetson,AlexNet,0.3,0.7772584199905396,Optimal,0.959606171503125,0
22,22,0.5,0.0,12,0.16622591018676758,0,507,503,False,True,jetson,AlexNet,0.3,0.8168870449066162,Optimal,0.959606171503125,0
23,23,0.5,0.0,13,0.15952396392822266,0,704,412,False,True,jetson,AlexNet,0.3,0.8202380180358887,Optimal,0.959606171503125,0
24,24,0.5,0.0,14,0.15297174453735352,0,406,406,False,True,jetson,AlexNet,0.3,0.8235141277313233,Optimal,0.959606171503125,0
25,25,0.5,0.0,15,0.16836977005004883,0,687,601,False,True,jetson,AlexNet,0.3,0.8158151149749756,Optimal,0.959606171503125,0
26,26,0.5,0.0,16,0.17767810821533203,0,342,342,False,True,jetson,AlexNet,0.3,0.811160945892334,Optimal,0.959606171503125,0
27,27,0.5,0.0,17,0.16266989707946777,0,516,556,False,True,jetson,AlexNet,0.3,0.8186650514602661,Optimal,0.959606171503125,0
28,28,0.5,0.0,18,0.18932747840881348,0,817,479,False,True,jetson,AlexNet,0.3,0.8053362607955933,Optimal,0.959606171503125,0
29,29,0.5,0.0,19,0.16181254386901855,0,460,460,False,True,jetson,AlexNet,0.3,0.8190937280654907,Optimal,0.959606171503125,0
30,0,1.0,0.0,0,0.3024582862854004,3,331,331,True,True,rpi4-1,MobileNet,0.5,0.5987708568572998,EGP,0.8098070827125,0
31,1,1.0,0.0,1,0.22347664833068848,3,209,209,True,True,rpi4-1,MobileNet,0.5,0.6382616758346558,EGP,0.8098070827125,0
