,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,client_id,served_model_name,served_accuracy,served_pre_accuracy,post-QoS,algorithm,QoS,mc_run
0,0,1.0,0.5,0,0.7587854862213135,3,938,938,True,False,jetson2,MobileNet,0.75,0.71878,0.7456072568893433,Optimal,0.8098070827125,0
1,1,1.0,0.5,1,0.29522705078125,3,874,874,True,False,jetson2,MobileNet,0.75,0.71878,0.875,Optimal,0.8098070827125,0
2,2,1.0,0.5,2,0.22057151794433594,3,560,908,True,False,jetson2,MobileNet,0.75,0.71878,0.875,Optimal,0.8098070827125,0
3,3,1.0,0.5,3,0.24781274795532227,3,755,755,True,False,jetson2,MobileNet,0.75,0.71878,0.875,Optimal,0.8098070827125,0
4,4,1.0,0.5,4,0.21876239776611328,3,652,830,True,False,jetson2,MobileNet,0.75,0.71878,0.875,Optimal,0.8098070827125,0
5,5,1.0,0.5,5,0.17352938652038574,3,931,931,True,False,jetson2,MobileNet,0.75,0.71878,0.875,Optimal,0.8098070827125,0
6,6,1.0,0.5,6,0.18599987030029297,3,999,999,True,False,jetson2,MobileNet,0.75,0.71878,0.875,Optimal,0.8098070827125,0
7,7,1.0,0.5,7,0.21323180198669434,3,692,963,True,False,jetson2,MobileNet,0.75,0.71878,0.875,Optimal,0.8098070827125,0
8,8,1.0,0.5,8,0.14612770080566406,3,999,999,True,False,jetson2,MobileNet,0.75,0.71878,0.875,Optimal,0.8098070827125,0
9,9,1.0,0.5,9,0.1237039566040039,3,434,885,True,False,jetson2,MobileNet,0.75,0.71878,0.875,Optimal,0.8098070827125,0
10,10,1.0,0.0,10,0.35021257400512695,3,317,317,True,True,rpi4-1,MobileNet,0.75,0.71878,0.6998937129974365,Optimal,0.8098070827125,0
11,11,1.0,0.0,11,0.2956264019012451,3,44,44,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7271867990493774,Optimal,0.8098070827125,0
12,12,1.0,0.0,12,0.25305652618408203,3,72,72,True,True,rpi4-1,MobileNet,0.75,0.71878,0.748471736907959,Optimal,0.8098070827125,0
13,13,1.0,0.0,13,0.27863001823425293,3,114,114,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7356849908828735,Optimal,0.8098070827125,0
14,14,1.0,0.0,14,0.23447179794311523,3,172,172,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7577641010284424,Optimal,0.8098070827125,0
15,15,1.0,0.0,15,0.2535665035247803,3,147,147,True,True,rpi4-1,MobileNet,0.75,0.71878,0.7482167482376099,Optimal,0.8098070827125,0
