,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,algorithm,mc_run,client_id,served_model_name,served_accuracy,served_pre_accuracy,post-QoS,QoS
0,0,0.675,0.0,10,0.5959045886993408,3,537,537,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.7020477056503296,0.9504170827125
1,1,0.675,0.0,11,0.22753000259399414,3,662,662,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.8862349987030029,0.9504170827125
2,2,0.675,0.0,12,0.19877028465270996,3,893,551,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.900614857673645,0.9504170827125
3,3,0.675,0.0,13,0.19270086288452148,3,722,477,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9036495685577393,0.9504170827125
4,4,0.675,0.0,14,0.17775964736938477,3,655,638,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9111201763153076,0.9504170827125
5,5,0.675,0.0,15,0.20692014694213867,3,379,379,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.8965399265289307,0.9504170827125
6,6,0.675,0.0,16,0.19533085823059082,3,655,514,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9023345708847046,0.9504170827125
7,7,0.675,0.0,17,0.20582818984985352,3,439,439,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.8970859050750732,0.9504170827125
8,8,0.675,0.0,18,0.1772298812866211,3,848,482,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9113850593566895,0.9504170827125
9,9,0.675,0.0,19,0.1477203369140625,3,535,535,False,True,Optimal,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9261398315429688,0.9504170827125
10,10,0.675,0.0,10,0.2668635845184326,3,537,537,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.8665682077407837,0.9504170827125
11,11,0.675,0.0,11,0.15651440620422363,3,662,662,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9217427968978882,0.9504170827125
12,12,0.675,0.0,12,0.16431427001953125,3,893,551,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9178428649902344,0.9504170827125
13,13,0.675,0.0,13,0.20194077491760254,3,722,477,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.8990296125411987,0.9504170827125
14,14,0.675,0.0,14,0.36031103134155273,3,655,638,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.8198444843292236,0.9504170827125
15,15,0.675,0.0,15,0.490739107131958,3,379,379,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.754630446434021,0.9504170827125
16,16,0.675,0.0,16,0.8069758415222168,3,655,514,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.5965120792388916,0.9504170827125
17,17,0.675,0.0,17,0.6133444309234619,3,439,439,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.693327784538269,0.9504170827125
18,18,0.675,0.0,18,0.8178396224975586,3,848,482,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.5910801887512207,0.9504170827125
19,19,0.675,0.0,19,0.6121091842651367,3,535,535,False,True,EGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.6939454078674316,0.9504170827125
20,20,0.675,0.0,10,0.20492005348205566,3,537,537,False,True,AGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.8975399732589722,0.9504170827125
21,21,0.675,0.0,11,0.14168310165405273,3,662,662,False,True,AGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9291584491729736,0.9504170827125
22,22,0.675,0.0,12,0.16524410247802734,3,893,551,False,True,AGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9173779487609863,0.9504170827125
23,23,0.675,0.0,13,0.17093372344970703,3,722,477,False,True,AGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9145331382751465,0.9504170827125
24,24,0.675,0.0,14,0.17237091064453125,3,655,638,False,True,AGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9138145446777344,0.9504170827125
25,25,0.675,0.0,15,0.20220661163330078,3,379,379,False,True,AGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.8988966941833496,0.9504170827125
26,26,0.675,0.0,16,0.13855862617492676,3,655,514,False,True,AGP,0,jetson,MobileNet,0.7309803921568627,0.71878,0.9307206869125366,0.9504170827125
