,index,req_accuracy,req_delay,req_id,served_delay,served_model,served_pred,true_answer,high_acc,low_delay,algorithm,mc_run,client_id,served_model_name,served_pre_accuracy,QoS,served_accuracy,post-QoS
0,0,0.9727495097826434,0.5768728987898433,20,0.3896520137786865,3,158,158,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.8595219996385446,0.7271228359439407,0.8771866630806486
1,1,0.8997850028192064,0.5508153848168117,21,0.2593991756439209,3,299,299,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.8149327925962808,0.7271228359439407,0.9136689165623672
2,2,0.9478184727253646,0.45433435338823974,22,0.2542448043823242,3,72,74,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.9239752580894373,0.7271228359439407,0.889652181609288
3,3,0.9006901528851664,0.29532650965059537,23,0.2326068878173828,3,41,41,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.8156491596043374,0.7271228359439407,0.9132163415293871
4,4,0.7591174473630311,0.688844317620238,24,0.21853017807006836,3,213,213,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.8309322061197337,0.7271228359439407,0.9840026942904547
5,5,0.9920012381271571,0.5977340610735318,25,0.26230764389038086,3,239,239,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.8114249632868236,0.7271228359439407,0.8675607989083918
6,6,0.7957158529453365,0.32184378910322353,26,0.20997190475463867,3,177,177,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.9504170827125,0.7271228359439407,0.9657034914993021
7,7,0.9661948186365863,0.5882332959523557,27,0.2072758674621582,3,84,84,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.8223274428260613,0.7271228359439407,0.8804640086536772
8,8,0.9141650468287701,0.6421738688525109,28,0.2416994571685791,3,294,294,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.8435835743869748,0.7271228359439407,0.9064788945575852
9,9,0.9616774944543957,0.40766743572945824,29,0.29642438888549805,3,254,254,False,False,Optimal,0,rpi4-1,MobileNet,0.71878,0.8140831691242576,0.7271228359439407,0.8827226707447725
10,10,0.9727495097826434,0.5768728987898433,20,0.24520635604858398,3,158,158,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.8595219996385446,0.7271228359439407,0.8771866630806486
11,11,0.8997850028192064,0.5508153848168117,21,0.5313653945922852,3,299,299,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.8149327925962808,0.7271228359439407,0.9136689165623672
12,12,0.9478184727253646,0.45433435338823974,22,0.6240513324737549,3,72,74,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.9239752580894373,0.7271228359439407,0.8047936920665305
13,13,0.9006901528851664,0.29532650965059537,23,0.7015247344970703,3,41,41,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.8156491596043374,0.7271228359439407,0.7101172291061497
14,14,0.7591174473630311,0.688844317620238,24,0.713454008102417,3,213,213,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.8309322061197337,0.7271228359439407,0.9716978490493653
15,15,0.9920012381271571,0.5977340610735318,25,0.702451229095459,3,239,239,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.8114249632868236,0.7271228359439407,0.8152022148974282
16,16,0.7957158529453365,0.32184378910322353,26,0.664379358291626,3,177,177,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.9504170827125,0.7271228359439407,0.7944357069051009
17,17,0.9661948186365863,0.5882332959523557,27,0.3617236614227295,3,84,84,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.8223274428260613,0.7271228359439407,0.8804640086536772
18,18,0.9141650468287701,0.6421738688525109,28,0.20780014991760254,3,294,294,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.8435835743869748,0.7271228359439407,0.9064788945575852
19,19,0.9616774944543957,0.40766743572945824,29,0.2052159309387207,3,254,254,False,False,EGP,0,rpi4-1,MobileNet,0.71878,0.8140831691242576,0.7271228359439407,0.8827226707447725
20,20,0.9727495097826434,0.5768728987898433,20,0.23798155784606934,3,158,158,False,False,AGP,0,rpi4-1,MobileNet,0.71878,0.8595219996385446,0.7271228359439407,0.8771866630806486
21,21,0.8997850028192064,0.5508153848168117,21,0.23107433319091797,3,299,299,False,False,AGP,0,rpi4-1,MobileNet,0.71878,0.8149327925962808,0.7271228359439407,0.9136689165623672
22,22,0.9478184727253646,0.45433435338823974,22,0.1926887035369873,3,72,74,False,False,AGP,0,rpi4-1,MobileNet,0.71878,0.9239752580894373,0.7271228359439407,0.889652181609288
23,23,0.9006901528851664,0.29532650965059537,23,0.2062392234802246,3,41,41,False,False,AGP,0,rpi4-1,MobileNet,0.71878,0.8156491596043374,0.7271228359439407,0.9132163415293871
24,24,0.7591174473630311,0.688844317620238,24,0.22204303741455078,3,213,213,False,False,AGP,0,rpi4-1,MobileNet,0.71878,0.8309322061197337,0.7271228359439407,0.9840026942904547
25,25,0.9920012381271571,0.5977340610735318,25,0.24429893493652344,3,239,239,False,False,AGP,0,rpi4-1,MobileNet,0.71878,0.8114249632868236,0.7271228359439407,0.8675607989083918
26,26,0.7957158529453365,0.32184378910322353,26,0.23248648643493652,3,177,177,False,False,AGP,0,rpi4-1,MobileNet,0.71878,0.9504170827125,0.7271228359439407,0.9657034914993021
27,27,0.9661948186365863,0.5882332959523557,27,0.28295350074768066,3,84,84,False,False,AGP,0,rpi4-1,MobileNet,0.71878,0.8223274428260613,0.7271228359439407,0.8804640086536772
